timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
27215312,0.0059090354,0.0052123535,0.004203344,4013,-4013,0.08678775,0.010305211,-9.965018,2984
27235992,0.0045690243,-0.0036364656,0.009968154,585,-585,-0.08625856,0.07223524,-9.740958,638
27237001,-0.0011905504,0.0071662646,-0.0046864655,1009,-1009,0.052398622,0.05766665,-9.915242,585
27240354,-0.009580847,0.0034107869,-0.0054289964,3353,-3353,-0.083700284,0.09771626,-9.632208,1009
27244303,-0.0053001707,0.0050952625,-0.0051459493,3949,-3949,0.04926764,-0.0828925,-9.74319,3353
27249306,3.0219877e-05,-0.003918826,-0.007968007,5003,-5003,0.041205708,0.025765875,-9.820985,3949
27252356,0.007060413,0.006243193,-0.0059229685,3050,-3050,-0.055659328,0.047058675,-9.715492,5003
27256303,0.004356841,0.009348018,-0.0073296586,3947,-3947,-0.096052945,-0.086956,-9.964137,3050
27261307,0.005429895,-0.007861449,-0.009571217,5004,-5004,0.038104344,-0.06955376,-9.680487,3947
27265307,-0.0035622136,-0.007523329,0.001965122,4000,-4000,0.019685192,0.009929754,-9.971488,5004
27269312,0.00987464,-0.0045907497,0.007806946,4005,-4005,0.015983472,-0.04447084,-9.79698,4000
27273310,0.008267693,0.0051460676,0.0008025545,3998,-3998,0.034216702,-0.021395605,-9.865118,4005
27278302,-0.0048869257,0.009955435,0.008533367,4992,-4992,0.07788679,0.012684916,-9.660596,3998
27283309,0.0054372153,0.0009903217,0.0003062413,5007,-5007,0.043287806,-0.0046071894,-9.671096,4992
27286304,-0.009532603,-0.0030558407,0.008288957,2995,-2995,-0.061814815,-0.033033848,-9.731401,5007
27289300,0.0055395463,0.0004834853,-0.0075040697,2996,-2996,0.037581455,0.028965628,-9.983598,2995
27293312,0.009239812,0.0045447196,-0.00062458665,4012,-4012,0.031530283,0.02530232,-9.957322,2996
27299305,-0.006477848,0.0030992555,0.0025725414,5993,-5993,0.053501762,0.0670233,-9.94763,4012
27302348,0.006804107,0.0091875475,-0.0032972984,3043,-3043,0.004121129,0.06053722,-9.847418,5993
27305306,-0.0033718112,-0.004888559,0.0023033125,2958,-2958,0.06381327,0.049019873,-9.972804,3043
27309309,0.009967148,-0.0020158098,-0.008228047,4003,-4003,-0.09043283,0.077034116,-9.7429085,2958
27315309,-0.004185482,0.008342414,-0.0028775542,6000,-6000,0.09536888,-0.08767399,-9.894731,4003
27318300,-0.0053912797,-0.009047209,-0.0030531432,2991,-2991,0.06555351,0.0034446216,-9.8228855,6000
27322357,0.0003815988,-0.007035622,-0.004087135,4057,-4057,-0.0422187,0.09375479,-9.66981,2991
27326306,-0.006468911,-0.007700821,0.0075214724,3949,-3949,0.07168701,0.04830567,-9.85879,4057
27330306,-0.0029936228,-0.0076951347,-0.00661048,4000,-4000,0.04361951,0.07339817,-9.922177,3949
27333321,-0.008698243,-0.008385517,-0.001771956,3015,-3015,-0.086897895,0.003141061,-9.669293,4000
27337363,0.008638587,0.0046164,-0.0012633712,4042,-4042,0.047592968,-0.04238199,-9.667518,3015
27342336,0.00873683,0.007841233,0.006519632,4973,-4973,0.095022626,0.08585143,-9.604625,4042
27346314,0.0005693956,-0.0019033857,-0.008774729,3978,-3978,0.04532112,-0.094941616,-9.749233,4973
27349304,0.009832087,0.009796655,0.0031270701,2990,-2990,0.050957188,-0.062499702,-9.990688,3978
27353309,0.007878552,-0.007619085,-0.0033323031,4005,-4005,0.037483547,-0.03251744,-9.922349,2990
27358384,0.009022241,0.0027917665,-0.0031615428,5075,-5075,-0.01400455,0.079388596,-9.755089,4005
27362367,-0.0031804612,0.0012186655,0.0039502564,3983,-3983,-0.09463742,0.06887336,-9.902276,5075
27366322,-0.009540907,0.008135065,-0.005925788,3955,-3955,0.028903538,-0.045397893,-9.983548,3983
27370306,0.0059767556,0.0060505657,0.005281519,3984,-3984,0.0020539167,-0.049633145,-9.605771,3955
27374493,-0.008666151,-0.008139352,0.0064908206,4187,-4187,-0.07982222,0.015736185,-9.8203,3984
27379305,-0.009917357,-0.0024932986,0.006243323,4812,-4812,0.02789694,0.078065574,-9.808579,4187
27383307,-0.001024977,-0.004868313,-0.008470929,4002,-4002,-0.083993316,-0.04819614,-9.700168,4812
27387213,-0.0075061424,0.0060403454,0.0047104834,3906,-3906,-0.07566618,-0.03255943,-9.949503,4002
27391385,0.0042639477,8.3425926e-05,0.009095435,4172,-4172,0.058579586,-0.015097984,-9.846306,3906
27395304,-0.004294997,-0.0010196026,0.0028187982,3919,-3919,-0.05291127,0.04818168,-9.683284,4172
27399308,-0.0060135503,0.0035381622,-0.004460286,4004,-4004,0.027503245,0.041366007,-9.8777075,3919
27405303,-0.009743338,0.0058913524,-0.0040252684,5995,-5995,0.04704359,0.038454022,-9.849956,4004
27408300,0.0037123815,-0.0040399604,0.0073127,2997,-2997,0.06163966,0.09678136,-9.830814,5995
27412330,-0.002010105,0.0063240454,-0.008696886,4030,-4030,-0.022221519,0.004274988,-9.728842,2997
27416307,-0.0038318685,0.008230965,-0.008561946,3977,-3977,0.040426727,-0.037237335,-9.880707,4030
27421303,-0.008244998,0.0028735248,-0.0008995188,4996,-4996,0.05200355,-0.047882535,-9.862549,3977
27425305,0.006317867,-0.0046706214,0.0017877098,4002,-4002,-0.005923716,-0.098426245,-9.9211855,4996
27429309,0.0012908847,-0.0003353088,-0.008978205,4004,-4004,0.040106278,-0.04988036,-9.798225,4002
27434309,-0.004101891,0.004464957,0.0033147237,5000,-5000,-0.094445296,0.03433336,-9.68551,4004
27438306,-0.00048599497,0.0025303264,-0.009439166,3997,-3997,0.05797584,0.040790547,-9.987132,5000
27442357,0.0072845714,-0.008464641,-0.0040558474,4051,-4051,-7.763361e-05,-0.03327293,-9.75876,3997
27446384,-0.0082074385,-0.005213811,-0.0066288467,4027,-4027,0.027727915,0.01885449,-9.938611,4051
27449308,-0.0024195542,-0.00852233,0.00897521,2924,-2924,0.023060143,0.08741775,-9.870205,4027
27454320,-0.007277273,-0.0020823723,0.002093912,5012,-5012,-0.028178869,0.030189345,-9.755711,2924
27457443,-0.009128154,0.0015688416,-0.007620611,3123,-3123,-0.09677114,-0.09628286,-9.897783,5012
27463315,0.0031114356,0.007522096,0.00039023935,5872,-5872,-0.032576967,-0.026063737,-9.674277,3123
27468409,-0.008302062,0.0046642446,-0.0014579996,5094,-5094,0.07888433,-0.05321925,-9.606509,5872
27471316,0.0072489074,-0.00803924,-0.004598899,2907,-2907,0.09793672,0.07579798,-9.978875,5094
27475308,0.0067236484,-0.008634989,-0.00085364544,3992,-3992,0.022497332,-0.06328147,-9.775313,2907
27479304,-0.005235021,0.008912105,-0.0065464335,3996,-3996,-0.06651128,0.010210899,-9.676707,3992
27483307,-0.0049963878,0.0057462472,-0.0059086373,4003,-4003,0.041936446,-0.031343367,-9.661915,3996
27488306,0.0057073073,-0.002819738,-0.0064671966,4999,-4999,0.02583776,0.012058806,-9.826326,4003
27491299,0.007917016,0.0033995514,0.0046092905,2993,-2993,0.055249732,0.07234784,-9.889739,4999
27494104,0.0012905492,-0.0037407835,0.008349166,2805,-2805,0.031294663,-0.0076085343,-9.757652,2993
27499307,-0.009739694,0.008652054,0.004441406,5203,-5203,-0.030628158,-0.07663374,-9.694746,2805
27504310,0.0049529383,-0.004932867,0.0067099794,5003,-5003,0.032544915,0.01681915,-9.63236,5203
27508307,-0.005924461,0.0055456343,0.0061321747,3997,-3997,-0.017609334,0.079456545,-9.917173,5003
27516307,0.0054921005,0.002392423,-0.003814714,2997,-2997,0.067680046,-0.020272195,-9.64978,5003
27520313,0.0057352837,0.009455872,0.0061027645,4006,-4006,0.09850406,0.08521043,-9.891441,2997
27525305,-0.0070870626,0.0048347707,0.0091629885,4992,-4992,-0.042245682,-0.06834587,-9.8871355,4006
27530318,-0.005660444,-0.0017647679,0.0050218794,5013,-5013,-0.02317619,-0.08902719,-9.921464,4992
27533326,0.0049201553,-0.00045443967,0.002724738,3008,-3008,-0.06686466,0.011083072,-9.672893,5013
27537368,0.008021366,0.0049907104,0.009303223,4042,-4042,0.005637562,0.0731944,-9.929196,3008
27540786,-0.0048997723,-0.0011273404,-0.0007307799,3418,-3418,0.063414656,-0.09166592,-9.739917,4042
27546307,0.009528506,-0.0072088223,-0.00221782,5521,-5521,0.010055771,-0.02913241,-9.614544,3418
27549300,0.005594665,0.0013221434,0.0051001366,2993,-2993,0.007345698,-0.028418215,-9.670503,5521
27554305,0.008409129,0.007649097,-0.00028096754,5005,-5005,0.05914135,-0.024926282,-9.761383,2993
27557450,0.0077204555,0.002361268,0.0025317578,3145,-3145,-0.08070034,0.032262683,-9.75917,5005
27561308,-0.0023005267,0.0058326363,-0.008745901,3858,-3858,0.042813245,0.04391306,-9.723546,3145
27565306,-0.004954143,0.009119052,0.007634425,3998,-3998,-0.03781173,0.04679676,-9.664999,3858
27569307,-0.0042804037,0.0039085597,-0.0082202125,4001,-4001,0.09822994,-0.08683537,-9.673186,3998
27574314,-0.004338683,0.007526499,0.008901447,5007,-5007,-0.04940543,-0.04204828,-9.666894,4001
27578417,-0.0002432869,-0.0021285808,0.0066274214,4103,-4103,0.034921035,0.0086288825,-9.8668375,5007
27581322,-0.008922699,0.0049428805,0.0070689004,2905,-2905,-0.082134224,0.025625356,-9.967755,4103
27585302,-0.0039213304,0.006758679,-0.0095367255,3980,-3980,-0.029883992,0.08534218,-9.690975,2905
27591299,-0.005800514,-0.006880778,-0.0037411961,5997,-5997,0.043325208,0.028597135,-9.886655,3980
27594315,-0.0062989597,-0.0047241095,0.004694571,3016,-3016,-0.033233706,0.03203649,-9.839138,5997
27598306,-0.006616939,0.0018905995,0.0016513363,3991,-3991,0.083517805,0.08947367,-9.931998,3016
27603494,0.009105802,-0.004693572,-0.0059902575,5188,-5188,0.08379582,-0.016038187,-9.919899,3991
27610307,0.0016708457,-0.0056331283,-0.0019602198,1986,-1986,0.030108089,-0.054365773,-9.632383,4827
27614310,0.001903622,0.004010437,-0.0054151565,4003,-4003,0.026640318,0.07448116,-9.890388,1986
27618709,-0.008522502,-0.00202976,0.004002641,4399,-4399,-0.05616094,0.004865437,-9.774172,4003
27622418,0.0023128502,0.005821781,-0.0076155486,3709,-3709,-0.059129708,0.010604419,-9.876336,4399
27635303,-0.004283045,-0.0010409108,0.008656312,2948,-2948,0.004326593,0.00696997,-9.754368,9937
27638299,-0.0051342873,0.0054114875,0.0066378713,2996,-2996,-0.061592624,0.008585474,-9.946555,2948
27639891,0.008034176,-0.009125535,0.0026988878,1592,-1592,0.012803774,0.09607156,-9.786082,2996
27645299,-0.002242874,-0.0018301326,-0.001622411,5408,-5408,-0.006962437,0.074729726,-9.916065,1592
27650310,0.0040172087,0.0009626467,-0.007860729,5011,-5011,-0.017197277,0.055789575,-9.818184,5408
27654300,-0.0027755692,-0.000797039,0.00473874,3990,-3990,-0.034651518,0.055359747,-9.847864,5011
27658306,-0.0011344332,0.0058716414,0.00047488237,4006,-4006,0.011922485,0.031243687,-9.8848,3990
27661306,-0.006419453,0.004680629,0.0013480409,3000,-3000,-0.011093191,-0.019896388,-9.760102,4006
27666398,0.00825617,0.007333597,-0.0034761103,5092,-5092,-0.04325984,0.0014019093,-9.661036,3000
27669300,0.0055316496,0.0010838268,-0.008539685,2902,-2902,-0.0681538,-0.038110368,-9.852798,5092
27673309,-0.009566636,-0.0041231224,-0.006492854,4009,-4009,0.05349574,0.030759552,-9.835166,2902
27678302,-0.0064481464,0.0026799338,-0.0053995466,4993,-4993,-0.09709731,-0.024189258,-9.666166,4009
27683307,-0.003939109,-0.005766631,-0.0057558413,5005,-5005,0.085599214,0.051136788,-9.678267,4993
27685300,-0.0046014315,0.00023466746,0.0015735215,1993,-1993,-0.026787288,-0.046337456,-9.658112,5005
27690307,0.0037433547,0.0040559783,0.0061763246,5007,-5007,-0.013966419,0.0063746884,-9.914987,1993
27691975,0.00924539,0.0089590745,0.0025917725,1668,-1668,0.06639673,-0.06061671,-9.602328,5007
27698299,0.0072681247,-0.0048333993,-7.842241e-05,6324,-6324,0.072953604,-0.051006187,-9.964786,1668
27701315,-0.004631201,0.005057074,0.0019545006,3016,-3016,-0.06872967,-0.06100386,-9.774777,6324
27705302,0.0021503565,0.0070072394,0.005424611,3987,-3987,0.060396306,-0.09190747,-9.909508,3016
27710383,0.0010422514,-0.009324212,-0.00856984,5081,-5081,0.09511351,-0.015114068,-9.863317,3987
27714300,0.005371553,-0.007860761,0.007315178,3917,-3917,-0.027228303,-0.022139547,-9.994061,5081
27717344,-0.00030807545,0.004194651,0.006195395,3044,-3044,0.025995092,-0.015341546,-9.672277,3917
27722352,0.002175919,-0.0005039095,0.0059971972,5008,-5008,0.09951068,-0.045372587,-9.999247,3044
27729305,0.009261007,-0.0040091304,-0.0050943564,1971,-1971,0.07684128,-0.0022289467,-9.928963,4982
27733307,-0.0029701325,-0.0050288024,0.0072761197,4002,-4002,0.071384236,-0.061908063,-9.70846,1971
27737375,0.0009843495,0.00091859535,0.009740672,4068,-4068,-0.040745083,-0.009880848,-9.633357,4002
27741300,0.0053498866,0.00991432,0.0005997617,3925,-3925,-0.0025854206,-0.06742331,-9.85634,4068
27746305,-0.004455263,0.00997044,0.00019526093,5005,-5005,0.066867605,0.012511687,-9.982526,3925
27749322,0.00040012464,-0.0068202685,0.0017505751,3017,-3017,0.04378283,0.08393649,-9.943246,5005
27752524,0.0058468417,-0.0025345373,-0.005646935,3202,-3202,0.05801642,-0.07944983,-9.75454,3017
27757331,0.0078712115,0.00203046,-0.008036403,4807,-4807,-0.017932728,0.027989313,-9.683827,3202
27761312,-0.00854181,0.0059389044,-0.007821518,3981,-3981,0.004651665,0.01638157,-9.711284,4807
27765388,0.0034889719,0.0036493195,0.002946335,4076,-4076,-0.019463362,-0.07495761,-9.967974,3981
27771307,-0.0008520167,-0.0058862157,-0.00094813306,5919,-5919,0.039841477,-0.087326095,-9.661966,4076
27774304,0.00015610746,-0.00963143,0.004727594,2997,-2997,0.015717793,-0.08972978,-9.888548,5919
27777348,-0.00472477,0.0030703205,-0.005422638,3044,-3044,-0.031052535,-0.08841325,-9.650014,2997
27781300,-0.009208757,0.0028762147,0.0017281319,3952,-3952,0.008393121,0.05634015,-9.892306,3044
27785312,0.008415284,0.0005391832,0.0047132727,4012,-4012,0.06317999,-0.09110125,-9.621971,3952
