timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
36257508,inf,0,1,1,1,0
37257522,inf,0,1,1,1,0
38277508,inf,0,1,1,1,0
39277605,inf,0,1,1,1,0
40297499,inf,0,1,1,1,0
41297499,inf,0,1,1,1,0
42297499,inf,0,1,1,1,0
43297530,inf,0,1,1,1,0
44317512,inf,0,1,1,1,0
45277561,inf,0,1,1,1,1
45777497,inf,0,1,0,1,1
45797516,inf,0,1,0,0,1
46277515,inf,0,0,0,0,0
47297514,inf,0,0,0,0,0
48317497,inf,0,0,0,0,0
49317513,inf,0,0,0,0,0
50317594,inf,0,0,0,0,0
51337509,inf,0,0,0,0,0
52357504,inf,0,0,0,0,0
53357513,inf,0,0,0,0,0
54377497,inf,0,0,0,0,0
56397514,inf,0,0,0,0,0
57417504,inf,0,0,0,0,0
58437751,inf,0,0,0,0,0
59457496,inf,0,0,0,0,0
60457537,inf,0,0,0,0,0
61477497,inf,0,0,0,0,0
62477498,inf,0,0,0,0,0
63477812,inf,0,0,0,0,0
64497497,inf,0,0,0,0,0
65498800,inf,0,0,0,0,0
66517495,inf,0,0,0,0,0
67517497,inf,0,0,0,0,0
68537492,inf,0,0,0,0,0
68657492,inf,0,0,1,0,0
68698517,inf,0,0,1,1,0
68757494,inf,0,1,1,1,0
