timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
35855877,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
36573459,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
36677619,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
40212103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
40226887,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
45245418,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
60257260,999.0,999.0,999.0,999.0,999.0,999.0,999.0,183,1,0,0,0,0,1
68395321,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,0,0,0,1
68910408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,1,0,0,0,0,1
