timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
67779952,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
68497347,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
68604647,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
72419710,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
72432465,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
77440343,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
92459338,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
92475495,999.0,999.0,999.0,999.0,999.0,999.0,999.0,183,1,0,0,0,0,1
113302658,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,0,0,0,1
113816405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,1,0,0,0,0,1
