timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
35276520,inf,0,1,1,1,0
36296524,inf,0,1,1,1,0
37316521,inf,0,1,1,1,0
38316524,inf,0,1,1,1,0
39316552,inf,0,1,1,1,0
40336517,inf,0,1,1,1,0
41336519,inf,0,1,1,1,0
42336520,inf,0,1,1,1,0
43336535,inf,0,1,1,1,0
44156519,inf,0,1,1,1,1
44656522,inf,0,1,0,1,1
44676521,inf,0,1,0,0,1
45176523,inf,0,0,0,0,0
46176533,inf,0,0,0,0,0
47196541,inf,0,0,0,0,0
48216536,inf,0,0,0,0,0
49236519,inf,0,0,0,0,0
50236520,inf,0,0,0,0,0
51256520,inf,0,0,0,0,0
52256530,inf,0,0,0,0,0
53276710,inf,0,0,0,0,0
54296517,inf,0,0,0,0,0
55316516,inf,0,0,0,0,0
56316516,inf,0,0,0,0,0
57316533,inf,0,0,0,0,0
58336516,inf,0,0,0,0,0
59336516,inf,0,0,0,0,0
59656530,inf,1,0,0,0,0
60116519,inf,0,0,0,0,0
61136525,inf,0,0,0,0,0
62157687,inf,0,0,0,0,0
63176515,inf,0,0,0,0,0
64176530,inf,0,0,0,0,0
65196519,inf,0,0,0,0,0
66196535,inf,0,0,0,0,0
67216512,inf,0,0,0,0,0
67276518,inf,0,0,1,0,0
67336514,inf,0,0,1,1,0
67376512,inf,0,1,1,1,0
