timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
35590297,0.9999998,-8.1725586e-05,-5.4576893e-05,0.0007221346,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
35654389,0.9999997,-0.00020804977,-0.0001388221,0.00079807726,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
35707300,0.9999997,-0.00025085954,-0.00016401587,0.0008114797,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
35758324,0.9999996,-0.00027622256,-0.00017519844,0.00085689005,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
35811304,0.9999996,-0.00025950017,-0.00027192134,0.0008498275,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
35864303,0.9999997,-0.00025598524,-0.00022594031,0.0007859828,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
35917301,0.9999997,-0.00024740494,-0.0002933767,0.00075280597,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
35968357,0.9999997,-0.00020532867,-0.0003126747,0.0007191249,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36021430,0.9999997,-0.00021075645,-0.00033519612,0.0007643205,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36074318,0.9999997,-0.00021505107,-0.00024095854,0.0007909064,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36126304,0.9999997,-0.00020994149,-0.00024513467,0.0007902468,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36177321,0.9999997,-0.00025195375,-0.00012588005,0.00083176716,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36228350,0.9999996,-0.0002107869,-3.2896533e-05,0.0008498341,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36281382,0.9999996,-0.00023368634,4.78221e-05,0.00090477406,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36333340,0.9999996,-0.00022327362,0.0001273719,0.00086535385,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36386301,0.9999996,-0.00021309417,0.00020432299,0.0008921418,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36439300,0.9999996,-0.00024898132,0.0002159502,0.0009220971,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36486929,0.9999996,-0.00024491624,0.00037842235,0.00086154876,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36542319,0.99999946,-0.00031550167,0.0004835491,0.00085340673,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36596311,0.9999996,-0.00029323914,0.00056392374,0.00078442926,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36646329,0.99999946,-0.00027031815,0.0005664295,0.0008654421,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36696297,0.99999946,-0.00023629009,0.00058252446,0.00078239717,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36750311,0.99999946,-0.00026868054,0.00063177774,0.00077442534,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
36803345,0.99999946,-0.00022746316,0.0007047527,0.0007069885,0.9999993,-2.770575e-11,1.3548561e-11,-0.0012425449,3
