timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
29184302,0.27646917,-0.036474217,0.47471383
29207265,0.27719116,-0.03750066,0.472801
29210315,0.27905694,-0.032497216,0.46844527
29211678,0.2771958,-0.035721086,0.47409987
29216326,0.27464005,-0.03337033,0.4718044
29220296,0.27467132,-0.030160818,0.47492173
29224303,0.28023186,-0.031888116,0.46776327
29233322,0.2773814,-0.031026144,0.471751
29236296,0.27647132,-0.031397514,0.47369844
29241386,0.2743977,-0.035055697,0.4695811
29245298,0.27373633,-0.036097568,0.46800372
29248328,0.27808395,-0.03483825,0.46878976
29252380,0.27749228,-0.031201081,0.47091603
29256302,0.27611655,-0.03559458,0.47212726
29259552,0.27443612,-0.037115246,0.46926722
29265301,0.27570486,-0.032118745,0.47339556
29269304,0.275007,-0.03475388,0.47336313
29273324,0.27418262,-0.035505768,0.47270182
29278347,0.2801996,-0.03164219,0.46996117
29283349,0.27396086,-0.033338867,0.4716306
29286296,0.27718076,-0.031102596,0.4724437
29289302,0.28039336,-0.036326874,0.46757483
29294323,0.27460128,-0.032768313,0.46873188
29297302,0.27488446,-0.031597093,0.4713984
29301302,0.27852178,-0.035361893,0.47543544
29310350,0.27760187,-0.030662203,0.47159898
29313322,0.27794287,-0.034660112,0.47047132
29318418,0.27324197,-0.035516802,0.4698277
29323349,0.27581277,-0.032934148,0.4722685
29327302,0.28106636,-0.03522396,0.47501028
29330296,0.273753,-0.032138567,0.46822307
29338359,0.2740561,-0.036995325,0.46982852
29341318,0.2762942,-0.035434857,0.4740855
29346305,0.27541968,-0.03763562,0.46845385
29349180,0.27399853,-0.036902145,0.474247
29354318,0.2733739,-0.0357419,0.4733909
29358325,0.27474532,-0.03311282,0.4754279
29363346,0.27519256,-0.0357942,0.47175384
29368323,0.28105327,-0.032074384,0.47327065
29371302,0.27768207,-0.033171874,0.4704319
29375302,0.277395,-0.031330004,0.47265
29380302,0.27361253,-0.034372054,0.47100058
29385304,0.27710265,-0.034146316,0.4693851
29387307,0.2763292,-0.03605015,0.4734387
29391302,0.28040656,-0.029821279,0.47058105
29395381,0.27828208,-0.033852264,0.46989948
29400310,0.27846804,-0.03398824,0.47492644
29404296,0.27581865,-0.031376284,0.47499567
29407310,0.2756708,-0.036208037,0.4707843
29413391,0.27741238,-0.03589811,0.470949
29422302,0.27908275,-0.03131206,0.47473767
29425312,0.27907255,-0.036800697,0.47033158
29430303,0.2759875,-0.036334075,0.47344005
29433328,0.28062406,-0.035269577,0.47204408
29436299,0.2800482,-0.030774765,0.47112882
29441302,0.28028712,-0.036451805,0.47298867
29445302,0.2812131,-0.036504358,0.47501335
29448322,0.2761932,-0.031738803,0.4714676
29452308,0.27441788,-0.033085216,0.47072875
29456307,0.2748431,-0.03411447,0.4681243
29459672,0.27939638,-0.032915592,0.47147056
29465301,0.27335122,-0.032670453,0.46954656
29468368,0.27773222,-0.035329368,0.47117636
29472380,0.27712992,-0.03567006,0.47138673
29477301,0.27390203,-0.033691753,0.4713718
29481296,0.27813685,-0.03301755,0.47538933
29485302,0.27747732,-0.03698336,0.4709313
29488506,0.28067678,-0.034328595,0.4723873
29493338,0.2737118,-0.031366184,0.47464734
29496317,0.2735021,-0.034450643,0.47204915
29500302,0.27758226,-0.034970727,0.4682605
29505386,0.27648076,-0.03140729,0.4751275
29508364,0.2756514,-0.03729346,0.47000393
29512302,0.28043067,-0.030218562,0.47053432
29517328,0.2797607,-0.033924725,0.4703273
29521303,0.27363732,-0.035874106,0.47295207
29525306,0.27819958,-0.031091746,0.46801412
29528326,0.2752492,-0.036827598,0.47026855
29532302,0.28080726,-0.032469876,0.46961784
29537296,0.27910215,-0.032215286,0.46950155
29540312,0.2773664,-0.03335157,0.47502524
29544304,0.2762665,-0.032786462,0.47254914
29548355,0.27446416,-0.033068348,0.47188714
29554296,0.28042972,-0.029816814,0.46872184
29557309,0.27760848,-0.034190636,0.474027
29560809,0.2774429,-0.033018272,0.47010568
