timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
28243123,inf,0,1,1,1,0
29243126,inf,0,1,1,1,0
30263123,inf,0,1,1,1,0
31263123,inf,0,1,1,1,0
32263473,inf,0,1,1,1,0
33283125,inf,0,1,1,1,0
34303125,inf,0,1,1,1,0
35303185,inf,0,1,1,1,0
36323125,inf,0,1,1,1,0
37343123,inf,0,1,1,1,0
38003141,inf,0,1,1,1,1
38523125,inf,0,1,0,1,1
38543125,inf,0,1,0,0,1
39003125,inf,0,0,0,0,0
40003127,inf,0,0,0,0,0
41023125,inf,0,0,0,0,0
42023127,inf,0,0,0,0,0
43043123,inf,0,0,0,0,0
44043125,inf,0,0,0,0,0
45043127,inf,0,0,0,0,0
46063123,inf,0,0,0,0,0
47063544,inf,0,0,0,0,0
48083357,inf,0,0,0,0,0
49103125,inf,0,0,0,0,0
50123125,inf,0,0,0,0,0
51143141,inf,0,0,0,0,0
52163123,inf,0,0,0,0,0
53163123,inf,0,0,0,0,0
54183125,inf,0,0,0,0,0
55203127,inf,0,0,0,0,0
56223125,inf,0,0,0,0,0
57243124,inf,0,0,0,0,0
58243134,inf,0,0,0,0,0
59263124,inf,0,0,0,0,0
60263124,inf,0,0,0,0,0
61263242,inf,0,0,0,0,0
62264020,inf,0,0,0,0,0
63283687,inf,0,0,0,0,0
64303123,inf,0,0,0,0,0
65303125,inf,0,0,0,0,0
65743125,inf,0,0,0,0,1
66364668,inf,0,0,0,0,0
67383124,inf,0,0,0,0,0
68403126,inf,0,0,0,0,0
69423123,inf,0,0,0,0,0
70423125,inf,0,0,0,0,0
71443124,inf,0,0,0,0,0
72443128,inf,0,0,0,0,0
73463125,inf,0,0,0,0,0
74063120,inf,0,0,1,0,0
74123120,inf,0,0,1,1,0
74163120,inf,0,1,1,1,0
