timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
30087354,inf,0,1,1,1,0
31107326,inf,0,1,1,1,0
32107335,inf,0,1,1,1,0
33107458,inf,0,1,1,1,0
34127328,inf,0,1,1,1,0
35127376,inf,0,1,1,1,0
36147367,inf,0,1,1,1,0
37167349,inf,0,1,1,1,0
38187339,inf,0,1,1,1,0
39187377,inf,0,1,1,1,0
39667404,inf,0,1,1,1,1
40187382,inf,0,1,0,1,1
40207361,inf,0,1,0,0,1
40667328,inf,0,0,0,0,0
41667404,inf,0,0,0,0,0
42687351,inf,0,0,0,0,0
43707364,inf,0,0,0,0,0
44727330,inf,0,0,0,0,0
45727335,inf,0,0,0,0,0
46727342,inf,0,0,0,0,0
47727384,inf,0,0,0,0,0
48747334,inf,0,0,0,0,0
49747400,inf,0,0,0,0,0
50767329,inf,0,0,0,0,0
51767342,inf,0,0,0,0,0
52767351,inf,0,0,0,0,0
53787373,inf,0,0,0,0,0
54787594,inf,0,0,0,0,0
54987359,inf,1,0,0,0,0
55487331,inf,0,0,0,0,0
56487335,inf,0,0,0,0,0
57487455,inf,0,0,0,0,0
58507331,inf,0,0,0,0,0
59507333,inf,0,0,0,0,0
60507354,inf,0,0,0,0,0
61527331,inf,0,0,0,0,0
62527338,inf,0,0,0,0,0
62627326,inf,0,0,1,0,0
62687335,inf,0,0,1,1,0
62727336,inf,0,1,1,1,0
