timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
30889303,0.7179381,0.730387,0.0,0.0
30909831,-0.95820934,-0.97482806,0.0,0.0
30911254,0.851604,0.8663631,0.0,0.0
30915795,-0.54260856,-0.552014,0.0,0.0
30920314,-0.54260856,-0.552014,0.0,0.0
30925317,-0.9779919,-0.99494356,0.0,0.0
30929344,-0.9779919,-0.99494356,0.0,0.0
30934313,0.26038164,0.26489782,0.0,0.0
30936309,0.26038164,0.26489782,0.0,0.0
30940344,0.26038164,0.26489782,0.0,0.0
30944309,-0.51397246,-0.5228842,0.0,0.0
30949303,-0.51397246,-0.5228842,0.0,0.0
30952379,0.5445175,0.5539601,0.0,0.0
30956309,0.5445175,0.5539601,0.0,0.0
30960309,0.5445175,0.5539601,0.0,0.0
30965328,-0.4960391,-0.5046364,0.0,0.0
30968324,-0.4960391,-0.5046364,0.0,0.0
30973347,-0.95505345,-0.9716089,0.0,0.0
30977340,-0.95505345,-0.9716089,0.0,0.0
30980303,-0.95505345,-0.9716089,0.0,0.0
30984346,0.5742109,0.5841639,0.0,0.0
30989345,0.5742109,0.5841639,0.0,0.0
30993313,-0.37580395,-0.382317,0.0,0.0
30996303,-0.37580395,-0.382317,0.0,0.0
31000310,-0.37580395,-0.382317,0.0,0.0
31005362,-0.855151,-0.86997867,0.0,0.0
31009310,-0.855151,-0.86997867,0.0,0.0
31012359,0.65186065,0.6631583,0.0,0.0
31015981,0.65186065,0.6631583,0.0,0.0
31021318,0.65186065,0.6631583,0.0,0.0
31026313,-0.61015767,-0.6207382,0.0,0.0
31032374,-0.372429,-0.37888855,0.0,0.0
31036312,-0.372429,-0.37888855,0.0,0.0
31041318,-0.372429,-0.37888855,0.0,0.0
31044329,-0.8594271,-0.8743238,0.0,0.0
31048303,-0.8594271,-0.8743238,0.0,0.0
31054303,0.55041826,0.55995953,0.0,0.0
31057382,0.55041826,0.55995953,0.0,0.0
31063320,0.55041826,0.55995953,0.0,0.0
31066302,0.31286412,0.31828722,0.0,0.0
31070305,0.31286412,0.31828722,0.0,0.0
31074320,0.48759583,0.49605107,0.0,0.0
31078308,0.48759583,0.49605107,0.0,0.0
31082331,-0.843892,-0.85852754,0.0,0.0
31086313,-0.843892,-0.85852754,0.0,0.0
31090311,-0.843892,-0.85852754,0.0,0.0
31094388,-0.82295173,-0.8372138,0.0,0.0
31097105,-0.82295173,-0.8372138,0.0,0.0
31102354,0.40038016,0.40731955,0.0,0.0
31106310,0.40038016,0.40731955,0.0,0.0
31110333,0.40038016,0.40731955,0.0,0.0
31116420,0.91983205,0.9357823,0.0,0.0
31118062,0.91983205,0.9357823,0.0,0.0
31123311,-0.39657846,-0.4034559,0.0,0.0
31127474,-0.39657846,-0.4034559,0.0,0.0
31131310,-0.39657846,-0.4034559,0.0,0.0
31135310,-0.92910403,-0.94520754,0.0,0.0
31139313,-0.92910403,-0.94520754,0.0,0.0
31143336,0.8248471,0.8391434,0.0,0.0
31147364,0.8248471,0.8391434,0.0,0.0
31152366,-0.8539343,-0.8687364,0.0,0.0
31156303,-0.8539343,-0.8687364,0.0,0.0
31159099,-0.8539343,-0.8687364,0.0,0.0
31164309,-0.84138805,-0.8559697,0.0,0.0
31168310,-0.84138805,-0.8559697,0.0,0.0
31172367,0.45202175,0.4598576,0.0,0.0
31177347,0.45202175,0.4598576,0.0,0.0
31180309,0.45202175,0.4598576,0.0,0.0
31184310,-0.23375723,-0.23781149,0.0,0.0
31188709,-0.23375723,-0.23781149,0.0,0.0
31193388,0.8030055,0.81692624,0.0,0.0
31196302,0.8030055,0.81692624,0.0,0.0
31200310,0.8030055,0.81692624,0.0,0.0
31206314,0.47890255,0.48720846,0.0,0.0
31209325,0.47890255,0.48720846,0.0,0.0
31212334,0.52809507,0.5372526,0.0,0.0
31215037,0.52809507,0.5372526,0.0,0.0
31220306,0.52809507,0.5372526,0.0,0.0
31228309,0.91802937,0.93395025,0.0,0.0
31235167,-0.80957854,-0.8236122,0.0,0.0
31240320,-0.80957854,-0.8236122,0.0,0.0
31244310,-0.3003782,-0.3055877,0.0,0.0
31248387,-0.3003782,-0.3055877,0.0,0.0
31253309,-1.0088412,-1.0263252,0.0,0.0
31257361,-1.0088412,-1.0263252,0.0,0.0
31261309,-1.0088412,-1.0263252,0.0,0.0
31263965,-0.82789874,-0.8422486,0.0,0.0
31270402,-0.82789874,-0.8422486,0.0,0.0
31277329,0.9269472,0.9430115,0.0,0.0
31283306,-0.21406382,-0.21777523,0.0,0.0
31286302,-0.21406382,-0.21777523,0.0,0.0
31289310,-0.21406382,-0.21777523,0.0,0.0
31294302,0.5444145,0.5538562,0.0,0.0
31298316,0.5444145,0.5538562,0.0,0.0
31305308,-0.09008341,-0.091644704,0.0,0.0
31309315,-0.09008341,-0.091644704,0.0,0.0
31313309,-0.7432559,-0.75614446,0.0,0.0
31317343,-0.7432559,-0.75614446,0.0,0.0
31321311,1.016834,1.0344596,0.0,0.0
31325411,1.016834,1.0344596,0.0,0.0
31329324,1.016834,1.0344596,0.0,0.0
31334311,-0.9938292,-1.0110599,0.0,0.0
31338317,-0.9938292,-1.0110599,0.0,0.0
31340837,-0.7354835,-0.74822956,0.0,0.0
31347447,-0.7354835,-0.74822956,0.0,0.0
31350306,-0.7354835,-0.74822956,0.0,0.0
31354310,1.0296155,1.0474672,0.0,0.0
31359309,1.0296155,1.0474672,0.0,0.0
31363328,-0.8495794,-0.86430824,0.0,0.0
31367390,-0.8495794,-0.86430824,0.0,0.0
31371309,-0.8495794,-0.86430824,0.0,0.0
31376313,0.93442196,0.9506173,0.0,0.0
31379309,0.93442196,0.9506173,0.0,0.0
31383312,0.5718125,0.58172315,0.0,0.0
31386481,0.5718125,0.58172315,0.0,0.0
31392360,0.59782743,0.6081889,0.0,0.0
31396309,0.59782743,0.6081889,0.0,0.0
31400325,0.59782743,0.6081889,0.0,0.0
31405312,0.5024155,0.511128,0.0,0.0
31408309,0.5024155,0.511128,0.0,0.0
31412336,-0.5753742,-0.58534825,0.0,0.0
31415290,-0.5753742,-0.58534825,0.0,0.0
31421309,-0.5753742,-0.58534825,0.0,0.0
31425310,1.0060953,1.0235437,0.0,0.0
31428310,1.0060953,1.0235437,0.0,0.0
31432359,-1.0202782,-1.037964,0.0,0.0
31436310,-1.0202782,-1.037964,0.0,0.0
31440309,-1.0202782,-1.037964,0.0,0.0
31445312,-0.44549087,-0.45321396,0.0,0.0
31449309,-0.44549087,-0.45321396,0.0,0.0
31454313,0.9679155,0.9846998,0.0,0.0
31457431,0.9679155,0.9846998,0.0,0.0
31460303,0.9679155,0.9846998,0.0,0.0
31464311,-0.7987204,-0.81256837,0.0,0.0
31468389,-0.7987204,-0.81256837,0.0,0.0
31472358,0.7163208,0.7287354,0.0,0.0
31479672,0.7163208,0.7287354,0.0,0.0
31485306,0.6489138,0.6601603,0.0,0.0
31489309,0.6489138,0.6601603,0.0,0.0
31492330,1.0002915,1.0176389,0.0,0.0
31501385,1.0002915,1.0176389,0.0,0.0
31504309,0.79814005,0.8119753,0.0,0.0
31508311,0.79814005,0.8119753,0.0,0.0
31515458,0.94283134,0.9591823,0.0,0.0
31521303,0.94283134,0.9591823,0.0,0.0
31524326,0.5883625,0.5985616,0.0,0.0
31529313,0.5883625,0.5985616,0.0,0.0
31536320,0.6738176,0.6854973,0.0,0.0
31540303,0.6738176,0.6854973,0.0,0.0
31545431,0.8247653,0.83906984,0.0,0.0
31549308,0.8247653,0.83906984,0.0,0.0
31553309,-0.9345418,-0.95074046,0.0,0.0
31557550,-0.9345418,-0.95074046,0.0,0.0
31562342,0.3914233,0.3982102,0.0,0.0
31566309,0.3914233,0.3982102,0.0,0.0
31571316,0.3914233,0.3982102,0.0,0.0
31575307,0.7119927,0.7243336,0.0,0.0
31579309,0.7119927,0.7243336,0.0,0.0
31582391,0.7232466,0.7357832,0.0,0.0
31587402,0.7232466,0.7357832,0.0,0.0
31592361,0.7232466,0.7357832,0.0,0.0
31594309,0.561845,0.5715882,0.0,0.0
31598309,0.561845,0.5715882,0.0,0.0
31602340,-0.8122383,-0.8263235,0.0,0.0
31607412,-0.8122383,-0.8263235,0.0,0.0
31610303,-0.8122383,-0.8263235,0.0,0.0
31614309,-0.65246344,-0.6637708,0.0,0.0
31623792,-0.65246344,-0.6637708,0.0,0.0
31625544,-0.65246344,-0.6637708,0.0,0.0
31629318,-0.32986936,-0.33558908,0.0,0.0
31635304,0.847023,0.86171204,0.0,0.0
31638303,0.847023,0.86171204,0.0,0.0
31642342,0.7173511,0.7297834,0.0,0.0
31646310,0.7173511,0.7297834,0.0,0.0
31650323,0.7173511,0.7297834,0.0,0.0
31654309,-0.47207624,-0.4802605,0.0,0.0
31658311,-0.47207624,-0.4802605,0.0,0.0
31662346,0.7629594,0.77618754,0.0,0.0
31666388,0.7629594,0.77618754,0.0,0.0
31670311,0.7629594,0.77618754,0.0,0.0
31675303,-1.0078475,-1.0253239,0.0,0.0
31676938,-1.0078475,-1.0253239,0.0,0.0
31682346,-0.9829403,-0.999983,0.0,0.0
31686309,-0.9829403,-0.999983,0.0,0.0
31690324,-0.9829403,-0.999983,0.0,0.0
31694487,0.63939327,0.6504765,0.0,0.0
31698312,0.63939327,0.6504765,0.0,0.0
31702350,0.85620356,0.8710506,0.0,0.0
31706302,0.85620356,0.8710506,0.0,0.0
31711311,0.85620356,0.8710506,0.0,0.0
31714308,0.36845863,0.3748458,0.0,0.0
31717340,0.36845863,0.3748458,0.0,0.0
31722384,0.33931264,0.3451973,0.0,0.0
31725769,0.33931264,0.3451973,0.0,0.0
31730310,0.33931264,0.3451973,0.0,0.0
31734303,-0.79493695,-0.80871516,0.0,0.0
31738312,-0.79493695,-0.80871516,0.0,0.0
31742346,-0.15864398,-0.161395,0.0,0.0
31746310,-0.15864398,-0.161395,0.0,0.0
31751323,-0.15864398,-0.161395,0.0,0.0
31753825,-0.7935726,-0.807326,0.0,0.0
31758310,-0.7935726,-0.807326,0.0,0.0
31763314,0.5638286,0.57360506,0.0,0.0
31767386,0.5638286,0.57360506,0.0,0.0
31773306,0.5638286,0.57360506,0.0,0.0
31775332,0.8867907,0.9021686,0.0,0.0
31778327,0.8867907,0.9021686,0.0,0.0
31783309,0.7039442,0.7161508,0.0,0.0
31787409,0.7039442,0.7161508,0.0,0.0
31790314,0.7039442,0.7161508,0.0,0.0
31795308,0.09034454,0.091911316,0.0,0.0
31798369,0.09034454,0.091911316,0.0,0.0
31803321,-0.88212997,-0.89741945,0.0,0.0
31807386,-0.88212997,-0.89741945,0.0,0.0
