timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,health_flags,timeout_flags
30889303,0.99999833,-0.0014965704,-0.0010445231,-0.0004332343,0.037085604,-0.015038213,-0.00014792882,0.034588665,0.0053945216,-0.013183616,4.4495446e-06,4.169285e-06,2.5540687e-06,3.1321633e-05,-8.996529e-05,5.6570745e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.2146357e-09,5.7330777e-05,0.01651895,3.1498214e-08,6.9876696e-05,6.987829e-05,0.00018757164,0.018893715,0.018893681,0.0063534775,0.024431072,0.024431068,0.032998644,2.3538702e-10,2.3539587e-10,2.267658e-09,1.0567601e-06,1.0567416e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.22104782,0.18165529,0.005360449,0.017781768,0.017691335,0.0025724096,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
31102354,0.99999857,-0.0013540875,-0.0006403997,-0.0007613769,0.0262868,-0.0130456155,-0.0033244975,0.026844898,0.007585986,-0.014224311,3.913346e-06,3.0464396e-06,3.0735537e-06,2.4607803e-05,-8.824457e-05,6.0000355e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.1868183e-09,5.531027e-05,0.016064517,3.15543e-08,6.545177e-05,6.545321e-05,0.00018552791,0.018123684,0.018123591,0.0058553964,0.022127965,0.022127962,0.032624297,1.9935271e-10,1.9936071e-10,2.1497717e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.21037093,0.18062197,0.0070930314,0.027941879,0.030635165,0.0009616584,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
31305308,0.9999988,-0.0014161369,-0.00028502248,-0.0005517838,0.017546222,-0.016172394,-0.010510643,0.018047439,0.0021520704,-0.017383197,3.7898633e-06,2.3274622e-06,2.940959e-06,2.6420525e-05,-8.912495e-05,5.9968508e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.1613476e-09,5.4170087e-05,0.014878897,3.1548037e-08,6.1368395e-05,6.136969e-05,0.0001849554,0.019775292,0.019775143,0.0054397066,0.02228712,0.022287115,0.03269033,1.7756531e-10,1.7757264e-10,2.0491673e-09,1.0539004e-06,1.0538814e-06,5.0000143e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.2111261,0.18080468,0.0075280396,0.020376733,0.025389913,0.006774275,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
31513310,0.9999989,-0.0013489646,-5.4939176e-07,-0.0006719074,0.0075799213,-0.013665143,-0.0076426608,0.012113806,0.004275095,-0.015849136,3.4758284e-06,1.8409968e-06,3.0963793e-06,3.255802e-05,-9.47069e-05,5.9981616e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.1393195e-09,5.3991407e-05,0.013890041,3.1579837e-08,5.6016117e-05,5.6017187e-05,0.00018324707,0.02295377,0.022953551,0.005148524,0.022827568,0.022827566,0.032660354,1.583162e-10,1.5832288e-10,1.942496e-09,1.0478217e-06,1.0478027e-06,5.000025e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.21367061,0.18072176,0.010662419,0.017995184,0.024064943,0.012448802,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
31714308,0.999999,-0.0012201254,0.00025735848,-0.00080552034,-0.00020713687,-0.008818037,-0.012608926,0.007578508,0.005364596,-0.014688142,3.156462e-06,1.6132295e-06,3.2359274e-06,3.7207003e-05,-0.00010835484,5.960325e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.2348704e-09,5.8187718e-05,0.013838901,3.1600543e-08,4.9856713e-05,4.985755e-05,0.00018191735,0.025161646,0.025161374,0.004939804,0.022630278,0.02263027,0.032462534,1.423386e-10,1.4234482e-10,1.8507201e-09,1.0302232e-06,1.0302044e-06,5.000013e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.21274526,0.18017362,0.00043601106,0.02263239,0.02215256,0.0022579455,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
31917545,0.9999986,-0.001135394,0.00021286317,-0.0011745251,0.00081915286,-0.0016663708,-0.011403622,0.009169792,0.01176889,-0.017316287,2.8629177e-06,1.6549759e-06,3.8374137e-06,3.764196e-05,-0.0001163714,5.9965158e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.1518035e-09,5.6412173e-05,0.013452821,3.16675e-08,4.3983768e-05,4.398444e-05,0.00018052803,0.027133852,0.02713358,0.0048337365,0.02277951,0.022779493,0.032413125,1.3028924e-10,1.3029508e-10,1.7634373e-09,1.0025886e-06,1.0025703e-06,5.0000086e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.21344556,0.18003646,0.016293962,0.023487903,0.009524034,0.0091453865,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
32123312,0.9999983,-0.0013460855,9.768412e-06,-0.0013575859,0.0032676046,-0.0036470555,-0.013277245,0.01152595,0.0071962485,-0.024585035,2.9643838e-06,1.7162884e-06,3.7672173e-06,3.482403e-05,-0.00011479848,6.23235e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.1314328e-09,5.481371e-05,0.012681008,3.1800983e-08,3.89508e-05,3.8951388e-05,0.00017812249,0.028672663,0.0286724,0.004800383,0.023335567,0.023335546,0.032262966,1.2174006e-10,1.2174567e-10,1.6716126e-09,9.691008e-07,9.69083e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.21603498,0.17961894,0.015122693,0.047998317,0.021721644,0.0032515798,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
32321326,0.99999803,-0.0012866498,6.707209e-05,-0.0015086804,-0.003694491,-0.0066499994,-0.015738385,0.0050252755,0.007818109,-0.022710757,2.915259e-06,1.5227517e-06,3.9016268e-06,4.6629786e-05,-0.00011766452,6.0868144e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.0887267e-09,5.2979052e-05,0.012791171,3.1871316e-08,3.4865257e-05,3.4865785e-05,0.00017661873,0.028605362,0.028605111,0.0048057074,0.023421159,0.023421131,0.03213911,1.1592401e-10,1.1592946e-10,1.5931646e-09,9.328436e-07,9.32826e-07,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.2164308,0.17927384,0.0056023095,0.039930824,0.007036115,0.0018712467,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
32528303,0.99999785,-0.0014596682,-0.000111873174,-0.0015119086,-0.0030736008,-0.01865588,-0.017291863,0.006209835,-0.007232922,-0.023981787,3.188472e-06,1.5608672e-06,3.6823324e-06,4.6238627e-05,-0.000104755854,5.9646693e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.2064274e-09,5.557256e-05,0.012121977,3.1949973e-08,3.1833722e-05,3.183422e-05,0.00017548133,0.028221281,0.028221058,0.0048711244,0.023701832,0.023701807,0.03210753,1.12141886e-10,1.12147236e-10,1.5185798e-09,8.965041e-07,8.964867e-07,5.0000022e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.21772377,0.17918573,0.0084897205,0.038142458,0.023374923,0.009280654,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
32732358,0.99999774,-0.0014097261,-0.00012592795,-0.0016617876,0.0018286539,-0.010905797,-0.016223805,0.010404972,-0.0033074564,-0.024258912,3.0521944e-06,1.6404297e-06,3.8133933e-06,4.7144586e-05,-0.00012317448,5.919265e-05,0.27444208,-0.03322502,0.47097206,0.0,0.0,0.0,0.0,0.0,1.125317e-09,5.270646e-05,0.013704391,3.2031625e-08,2.9684783e-05,2.9685316e-05,0.00017427214,0.027272604,0.027272407,0.004974154,0.024002662,0.024002636,0.032108113,1.0973332e-10,1.09738614e-10,1.447728e-09,8.623472e-07,8.6232995e-07,5.000006e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,535,0.21910112,0.17918737,0.0036181686,0.01373118,0.008596771,0.0030289823,0.0,0.0,0.0,0.0,0,0,0,831,24,0,0,0,0,0,0
