timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
26130340,inf,0,1,1,1,0
27150316,inf,0,1,1,1,0
28150334,inf,0,1,1,1,0
29150361,inf,0,1,1,1,0
30170324,inf,0,1,1,1,0
31170346,inf,0,1,1,1,0
32190320,inf,0,1,1,1,0
33190329,inf,0,1,1,1,0
34190361,inf,0,1,1,1,0
35210318,inf,0,1,1,1,0
35750318,inf,0,1,1,1,1
36170332,inf,0,1,0,1,1
36190314,inf,0,1,0,0,1
36770344,inf,0,0,0,0,0
37790313,inf,0,0,0,0,0
38790330,inf,0,0,0,0,0
39790358,inf,0,0,0,0,0
40810322,inf,0,0,0,0,0
41810350,inf,0,0,0,0,0
42830315,inf,0,0,0,0,0
43830325,inf,0,0,0,0,0
44830348,inf,0,0,0,0,0
45850315,inf,0,0,0,0,0
46850332,inf,0,0,0,0,0
47850343,inf,0,0,0,0,0
48870318,inf,0,0,0,0,0
49870348,inf,0,0,0,0,0
50890315,inf,0,0,0,0,0
51890916,inf,0,0,0,0,0
52910426,inf,0,0,0,0,0
53930355,inf,0,0,0,0,0
54930375,inf,0,0,0,0,0
55951913,inf,0,0,0,0,0
56970323,inf,0,0,0,0,0
57970341,inf,0,0,0,0,0
58970357,inf,0,0,0,0,0
59990330,inf,0,0,0,0,0
60990342,inf,0,0,0,0,0
61990369,inf,0,0,0,0,0
63010330,inf,0,0,0,0,0
64010361,inf,0,0,0,0,0
65030322,inf,0,0,0,0,0
66030348,inf,0,0,0,0,0
67030349,inf,0,0,0,0,0
68050330,inf,0,0,0,0,0
69050363,inf,0,0,0,0,0
70070315,inf,0,0,0,0,0
71070333,inf,0,0,0,0,0
71770313,inf,0,0,1,0,0
71830341,inf,0,0,1,1,0
71870362,inf,0,1,1,1,0
