timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
31266218,inf,0,1,1,1,0
32286225,inf,0,1,1,1,0
33306202,inf,0,1,1,1,0
34306209,inf,0,1,1,1,0
35306233,inf,0,1,1,1,0
36326202,inf,0,1,1,1,0
37326202,inf,0,1,1,1,0
38326202,inf,0,1,1,1,0
39326204,inf,0,1,1,1,0
39886221,inf,0,1,1,1,1
40266483,inf,0,1,0,1,1
40286204,inf,0,1,0,0,1
40906204,inf,0,0,0,0,0
41906847,inf,0,0,0,0,0
42926206,inf,0,0,0,0,0
43947059,inf,0,0,0,0,0
44966202,inf,0,0,0,0,0
45986382,inf,0,0,0,0,0
47006204,inf,0,0,0,0,0
48026326,inf,0,0,0,0,0
49047516,inf,0,0,0,0,0
50066208,inf,0,0,0,0,0
51066231,inf,0,0,0,0,0
52086206,inf,0,0,0,0,0
53106204,inf,0,0,0,0,0
54126202,inf,0,0,0,0,0
55126204,inf,0,0,0,0,0
56126222,inf,0,0,0,0,0
57146202,inf,0,0,0,0,0
58146202,inf,0,0,0,0,0
59147328,inf,0,0,0,0,0
60166202,inf,0,0,0,0,0
61166206,inf,0,0,0,0,0
62166217,inf,0,0,0,0,0
63186204,inf,0,0,0,0,0
64206204,inf,0,0,0,0,0
65226203,inf,0,0,0,0,0
66226204,inf,0,0,0,0,0
67226210,inf,0,0,0,0,0
68246203,inf,0,0,0,0,0
69246203,inf,0,0,0,0,0
70266204,inf,0,0,0,0,0
71286202,inf,0,0,0,0,0
72287448,inf,0,0,0,0,0
73306218,inf,0,0,0,0,0
74326204,inf,0,0,0,0,0
75346202,inf,0,0,0,0,0
75906199,inf,0,0,1,0,0
75966199,inf,0,0,1,1,0
76006199,inf,0,1,1,1,0
