timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
31704304,0.87803733,0.89542097,0.0,0.0
31724066,-0.44813174,-0.4570066,0.0,0.0
31727570,-0.72287923,-0.7371892,0.0,0.0
31728596,0.34886247,0.35577223,0.0,0.0
31733303,0.34886247,0.35577223,0.0,0.0
31737303,-0.7377653,-0.75237155,0.0,0.0
31741331,-0.7377653,-0.75237155,0.0,0.0
31746345,-0.7377653,-0.75237155,0.0,0.0
31749436,-0.50541955,-0.515425,0.0,0.0
31755706,0.6200089,0.63228834,0.0,0.0
31761435,0.6200089,0.63228834,0.0,0.0
31765296,0.6200089,0.63228834,0.0,0.0
31769299,0.24810937,0.25302297,0.0,0.0
31774306,0.24810937,0.25302297,0.0,0.0
31778305,0.98845935,1.0080341,0.0,0.0
31781330,0.98845935,1.0080341,0.0,0.0
31787298,-0.27726632,-0.28275847,0.0,0.0
31793312,-0.27726632,-0.28275847,0.0,0.0
31797302,0.7114377,0.72552276,0.0,0.0
31801323,0.7114377,0.72552276,0.0,0.0
31808309,0.7114377,0.72552276,0.0,0.0
31810567,-0.13903983,-0.14179376,0.0,0.0
31815296,-0.42366725,-0.43205863,0.0,0.0
31819594,-0.42366725,-0.43205863,0.0,0.0
31824315,-0.42366725,-0.43205863,0.0,0.0
31829302,-0.8687936,-0.885995,0.0,0.0
31832352,-0.8687936,-0.885995,0.0,0.0
31837302,-0.29307836,-0.2988826,0.0,0.0
31841328,-0.29307836,-0.2988826,0.0,0.0
31845302,-0.29307836,-0.2988826,0.0,0.0
31847648,-0.6090329,-0.62109506,0.0,0.0
31853296,-0.6090329,-0.62109506,0.0,0.0
31857302,-0.66265535,-0.6757754,0.0,0.0
31860380,-0.66265535,-0.6757754,0.0,0.0
31864491,-0.66265535,-0.6757754,0.0,0.0
31869302,-0.63499105,-0.64756674,0.0,0.0
31873302,-0.63499105,-0.64756674,0.0,0.0
31877302,0.40911838,0.41722295,0.0,0.0
31881326,0.40911838,0.41722295,0.0,0.0
31885303,0.40911838,0.41722295,0.0,0.0
31889304,0.9352918,0.953818,0.0,0.0
31893429,0.9352918,0.953818,0.0,0.0
31897304,0.2628298,0.2680364,0.0,0.0
31900302,0.2628298,0.2680364,0.0,0.0
31905301,0.2628298,0.2680364,0.0,0.0
31909296,0.19954962,0.2035003,0.0,0.0
31912305,0.19954962,0.2035003,0.0,0.0
31917303,0.8271332,0.84351075,0.0,0.0
31922304,0.8271332,0.84351075,0.0,0.0
31924705,-0.9652687,-0.9843889,0.0,0.0
31929306,-0.9652687,-0.9843889,0.0,0.0
31933302,-0.9652687,-0.9843889,0.0,0.0
31938302,-0.6214764,-0.6337825,0.0,0.0
31944299,-0.6214764,-0.6337825,0.0,0.0
31947318,-0.9842337,-1.0037295,0.0,0.0
31951322,-0.9842337,-1.0037295,0.0,0.0
31955304,-0.9842337,-1.0037295,0.0,0.0
31960301,0.3112193,0.3173827,0.0,0.0
31963309,0.3112193,0.3173827,0.0,0.0
31967296,-0.18716694,-0.19087346,0.0,0.0
31971350,-0.18716694,-0.19087346,0.0,0.0
31975302,-0.18716694,-0.19087346,0.0,0.0
31978302,-0.92492306,-0.94323635,0.0,0.0
31985794,-0.7925624,-0.80825746,0.0,0.0
31992381,-0.7925624,-0.80825746,0.0,0.0
31995313,-0.7925624,-0.80825746,0.0,0.0
31999302,-0.58644587,-0.5980566,0.0,0.0
32002296,-0.58644587,-0.5980566,0.0,0.0
32007302,-0.9022062,-0.92006713,0.0,0.0
32010296,-0.9022062,-0.92006713,0.0,0.0
32014380,-0.9022062,-0.92006713,0.0,0.0
32018485,0.9007428,0.91857976,0.0,0.0
32023302,0.9007428,0.91857976,0.0,0.0
32026374,-0.7631916,-0.77830654,0.0,0.0
32031323,-0.7631916,-0.77830654,0.0,0.0
32037299,-0.7631916,-0.77830654,0.0,0.0
32043296,-0.8323675,-0.84885585,0.0,0.0
32047383,-0.85663515,-0.87359864,0.0,0.0
32053302,-0.85663515,-0.87359864,0.0,0.0
32056322,0.41687614,0.4251309,0.0,0.0
32059296,0.41687614,0.4251309,0.0,0.0
32062831,0.41687614,0.4251309,0.0,0.0
32067319,0.5718485,0.5831713,0.0,0.0
32072299,0.5718485,0.5831713,0.0,0.0
32076350,1.0242797,1.0445662,0.0,0.0
32079296,1.0242797,1.0445662,0.0,0.0
32084303,1.0242797,1.0445662,0.0,0.0
32088305,-0.507652,-0.5177059,0.0,0.0
32091444,-0.507652,-0.5177059,0.0,0.0
32095492,0.75988966,0.7749396,0.0,0.0
32099302,0.75988966,0.7749396,0.0,0.0
32104318,0.75988966,0.7749396,0.0,0.0
32109302,-1.0270534,-1.0473853,0.0,0.0
32113476,-1.0270534,-1.0473853,0.0,0.0
32117317,0.38096005,0.38850334,0.0,0.0
32123552,0.38096005,0.38850334,0.0,0.0
32130296,0.7179381,0.73215693,0.0,0.0
32133296,0.7179381,0.73215693,0.0,0.0
32137304,-0.95820934,-0.9771904,0.0,0.0
32142311,-0.95820934,-0.9771904,0.0,0.0
32145318,-0.95820934,-0.9771904,0.0,0.0
32149302,0.851604,0.86846256,0.0,0.0
32152302,0.851604,0.86846256,0.0,0.0
32157429,-0.54260856,-0.5533517,0.0,0.0
32161347,-0.54260856,-0.5533517,0.0,0.0
32164296,-0.54260856,-0.5533517,0.0,0.0
32168386,-0.9779919,-0.99735457,0.0,0.0
32174300,-0.9779919,-0.99735457,0.0,0.0
