timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
30188459,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
30905987,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
31012973,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
34819139,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
34833757,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
39839095,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
54863106,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
54880374,999.0,999.0,999.0,999.0,999.0,999.0,999.0,183,1,0,0,0,0,1
75639668,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,0,0,0,1
76141663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,1,0,0,0,0,1
