timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
26828302,20618296,40.154030000000006,116.2593688,0.015307675,-0.011568686,-0.03223544,-0.0029797526,-0.0015331438,0.0,-0.008328862,0.025549022,-0.032305535,-0.045686632,-0.047808405,0.025454048,0.0820098,-0.06405492,-0.084777385,0.1371982,0.003083798,1.1126318,0.17429258,0.032305535,0.21150428,0.18109222,0.1872999,0.07813709,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
26947322,20618296,40.154030000000006,116.2593688,0.01664085,-0.013816107,-0.03310406,-0.0029797526,-0.0015331438,0.0,-0.009345892,0.024315193,-0.032094643,-0.04128763,-0.047808405,0.025454048,0.0820098,-0.090163745,0.10719921,0.16311994,0.0031471534,1.1126318,0.1751612,0.032094643,0.21367738,0.18085024,0.18985593,0.07772941,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27041311,20618296,40.154030000000006,116.2593688,0.019959005,-0.017481614,-0.03254564,-0.0029797526,-0.0015331438,0.0,-0.006238056,0.021665828,-0.03234217,-0.037227385,-0.047808405,0.025454048,0.0820098,-0.09761447,0.002232186,-0.05291206,0.0030953155,1.1126318,0.17460278,0.03234217,0.2155978,0.18116336,0.1964391,0.07642038,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27144303,20618296,40.154030000000006,116.2593688,0.022681829,-0.022209488,-0.030333603,-0.0029797526,-0.0015331438,0.0,-0.0021047364,0.017146416,-0.030654978,-0.03014334,-0.047808405,0.025454048,0.0820098,0.055349875,0.045029297,-0.19899699,0.0032118135,1.1126318,0.17239074,0.030654978,0.21579985,0.18079366,0.20235337,0.074955665,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27245492,20618296,40.154030000000006,116.2593688,0.025552202,-0.027222926,-0.027557546,-0.0029797526,-0.0015331438,0.0,0.0008248848,0.011935617,-0.029324904,-0.023553776,-0.047808405,0.025454048,0.0820098,-0.05084298,-0.022194736,0.15839706,0.0033099523,1.1126318,0.16961469,0.029324904,0.21631403,0.18124165,0.21024252,0.07384237,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27349309,20618296,40.154030000000006,116.2593688,0.027675299,-0.030819766,-0.02616261,-0.0029797526,-0.0015331438,0.0,0.002927971,0.008767606,-0.024428232,-0.015863268,-0.047808405,0.025454048,0.0820098,-0.0032388356,0.06499356,-0.13837406,0.0034304871,1.1126318,0.16821975,0.024428232,0.21659619,0.18083294,0.21954148,0.072774336,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27447348,20618296,40.154030000000006,116.2593688,0.030000165,-0.033195406,-0.02474705,-0.0029797526,-0.0015331438,0.0,0.006753284,0.0043588397,-0.023054719,-0.01249371,-0.047808405,0.025454048,0.0820098,0.0030498134,-0.0761771,-0.073671855,0.0034500794,1.1126318,0.16680418,0.023054719,0.21778579,0.18069506,0.22922082,0.071960896,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27553424,20618296,40.154030000000006,116.2593688,0.030461624,-0.036707193,-0.024767825,-0.0029797526,-0.0015331438,0.0,0.00848008,0.0020867395,-0.022160836,-0.01110131,-0.047808405,0.025454048,0.0820098,0.035789467,-0.04115472,0.15616032,0.003159975,1.1126318,0.16682497,0.022160836,0.22049506,0.18095088,0.23985526,0.07143348,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27655379,20618296,40.154030000000006,116.2593688,0.029348196,-0.0394397,-0.025597744,-0.0029797526,-0.0015331438,0.0,0.006680559,0.00044078508,-0.019197788,-0.008639197,-0.047808405,0.025454048,0.0820098,-0.01953296,0.027047783,-0.16814888,0.0029717705,1.1126318,0.16765487,0.019197788,0.21970508,0.18087196,0.24522355,0.07088746,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27757327,20618296,40.154030000000006,116.2593688,0.02630258,-0.041422587,-0.02451842,-0.0029797526,-0.0015331438,0.0,0.0014370758,0.0015618673,-0.020752897,-0.00866874,-0.047808405,0.025454048,0.0820098,0.00044083397,0.010255452,0.07206288,0.0031690577,1.1126318,0.16657555,0.020752897,0.22035824,0.18045801,0.25074792,0.07047749,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27858302,20618296,40.154030000000006,116.2593688,0.025481654,-0.041109398,-0.024445448,-0.0029797526,-0.0015331438,0.0,-0.00040949864,0.00313698,-0.02425677,-0.011533988,-0.047808405,0.025454048,0.0820098,-0.03312338,0.0666611,-0.035935495,0.0032057127,1.1126318,0.16650258,0.02425677,0.22034587,0.17981832,0.2531941,0.07011857,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
27958301,20618296,40.154030000000006,116.2593688,0.02335337,-0.041723773,-0.025434695,-0.0029797526,-0.0015331438,0.0,-0.003454491,0.0025407593,-0.023711978,-0.011485206,-0.047808405,0.025454048,0.0820098,0.08414752,-0.06441186,-0.10750705,0.003174612,1.1126318,0.16749182,0.023711978,0.22109553,0.18012771,0.25608015,0.07006284,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
28062339,20618296,40.154030000000006,116.2593688,0.019885166,-0.04423591,-0.027414482,-0.0029797526,-0.0015331438,0.0,-0.007966778,-0.00075356313,-0.023713106,-0.012518799,-0.047808405,0.025454048,0.0820098,0.06425375,0.0020373159,0.17865045,0.0030296969,1.1126318,0.16947162,0.023713106,0.22143437,0.17960718,0.25657567,0.069940716,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
28162504,20618296,40.154030000000006,116.2593688,0.016510142,-0.048480395,-0.029387,-0.0029797526,-0.0015331438,0.0,-0.013199508,-0.0032696195,-0.028458983,-0.018277159,-0.047808405,0.025454048,0.0820098,-0.055691496,0.08339188,-0.129653,0.0030682497,1.1126318,0.17144413,0.028458983,0.22249877,0.17999682,0.25672334,0.07010068,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
28258310,20618296,40.154030000000006,116.2593688,0.015164847,-0.050803896,-0.03202745,-0.0029797526,-0.0015331438,0.0,-0.013810552,-0.004111112,-0.030022252,-0.020911591,-0.047808405,0.025454048,0.0820098,-0.086064756,-0.02359601,-0.09045969,0.0028779674,1.1126318,0.17408459,0.030022252,0.22302336,0.17956217,0.25499266,0.070161894,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
28364306,20618296,40.154030000000006,116.2593688,0.012279278,-0.05052637,-0.0334683,-0.0029797526,-0.0015331438,0.0,-0.015572304,-0.0030141831,-0.030344032,-0.020573989,-0.047808405,0.025454048,0.0820098,0.08641786,-0.07443399,0.18871199,0.0029009278,1.1126318,0.17552543,0.030344032,0.22324233,0.17905305,0.25305012,0.07030044,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
28469309,20618296,40.154030000000006,116.2593688,0.010658978,-0.05130748,-0.03541437,-0.0029797526,-0.0015331438,0.0,-0.017640589,-0.0024502377,-0.029695649,-0.019902296,-0.047808405,0.025454048,0.0820098,-0.08318371,-0.099152975,0.16176933,0.0027026006,1.1126318,0.1774715,0.029695649,0.22487544,0.17889492,0.25147998,0.070617914,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
28568447,20618296,40.154030000000006,116.2593688,0.010313439,-0.052794687,-0.03571671,-0.0029797526,-0.0015331438,0.0,-0.016367592,-0.002052346,-0.024107061,-0.013220952,-0.047808405,0.025454048,0.0820098,0.0059910463,0.03331972,0.0797201,0.0026339921,1.1126318,0.17777385,0.024107061,0.22456662,0.17902678,0.24749903,0.07091924,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
28666296,20618296,40.154030000000006,116.2593688,0.010048129,-0.052268904,-0.036300924,-0.0029797526,-0.0015331438,0.0,-0.015336507,-0.0025555785,-0.026704814,-0.0153146265,-0.047808405,0.025454048,0.0820098,0.038881466,-0.0044663087,-0.016331183,0.0025769218,1.1126318,0.17835806,0.026704814,0.22409387,0.17840534,0.24336004,0.07111995,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
28770307,20618296,40.154030000000006,116.2593688,0.007638812,-0.052554447,-0.03686233,-0.0029797526,-0.0015331438,0.0,-0.01756565,-0.002507495,-0.026627177,-0.0146649955,-0.047808405,0.025454048,0.0820098,-0.0010000205,-0.07108332,-0.21187423,0.0023983223,1.1126318,0.17891946,0.026627177,0.22586836,0.17836085,0.24045688,0.07160366,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
