timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
43255350,43255296,0.010240214,0.0040140743,-9.1934766e-05,-0.0,0.0,0.0,0.0,-1.0
43369460,43369406,-0.0065957233,0.0008794926,-0.001776715,-0.0,0.0,0.0,0.0,-1.0
43471359,43471305,-0.0049886177,-0.0010777768,-0.0010699567,-0.0,0.0,0.0,0.0,-1.0
43572387,43572311,-0.0023869334,0.008258052,-0.00029871854,-0.0,0.0,0.0,0.0,-1.0
43675354,43675302,-0.0055900207,0.008112201,-0.000978235,-0.0,0.0,0.0,0.0,-1.0
43775359,43775305,0.0057247723,0.0025186953,-0.0029880505,-0.0,0.0,0.0,0.0,-1.0
43878357,43878303,0.007936272,0.0028229961,-0.002269875,-0.0,0.0,0.0,0.0,-1.0
43978399,43978324,-0.004083697,0.0055566984,-0.001600752,-0.0,0.0,0.0,0.0,-1.0
44080357,44080303,0.009594342,0.002754373,6.4301494e-05,-0.0,0.0,0.0,0.0,-1.0
44181354,44181302,0.0061270297,0.0020006916,-0.00037379167,0.0,0.0,0.0,0.0,-1.0
44285425,44285372,-0.0005640098,-0.0017794627,0.0019758136,0.0,0.0,0.0,0.0,-1.0
44386355,44386302,0.0019874691,-0.002127505,-0.0007861073,0.0,0.0,0.0,0.0,-1.0
44486350,44486296,0.0048218085,-0.005664212,0.0014633704,0.0,0.0,0.0,0.0,-1.0
44586355,44586301,0.0029498043,-0.008447581,-0.0006809419,0.0,0.0,0.0,0.0,-1.0
44688410,44688333,-0.012582177,-0.0038625763,0.0017623634,0.0,0.0,0.0,0.0,-1.0
44789410,44789357,0.010806312,-0.0031187884,0.00074025645,0.0,0.0,0.0,0.0,-1.0
44890356,44890303,0.014704178,0.005403141,0.0007756848,0.0,0.0,0.0,0.0,-1.0
44995387,44995312,0.009625308,0.009200007,0.0012690526,0.0,0.0,0.0,0.0,-1.0
45095459,45095406,0.002786355,-0.0066263406,0.0010666907,0.0,0.0,0.0,0.0,-1.0
45198356,45198304,-0.0071292473,-0.002137692,0.00048769763,0.0,0.0,0.0,0.0,-1.0
45299403,45299349,0.008117991,0.0021550367,0.0008826386,0.0,0.0,0.0,0.0,-1.0
45399387,45399334,-0.010718828,0.011587509,-0.0013476787,0.0,0.0,0.0,0.0,-1.0
45503355,45503303,0.0054432866,0.007745681,0.0006295944,0.0,0.0,0.0,0.0,-1.0
45602386,45602310,0.001699655,0.007844609,-0.0007650023,0.0,0.0,0.0,0.0,-1.0
45705373,45705314,0.004362691,-0.0111638,5.7651137e-05,0.0,0.0,0.0,0.0,-1.0
45805356,45805302,0.014788562,-0.0055346377,0.000520683,0.0,0.0,0.0,0.0,-1.0
45907356,45907304,-0.00964665,-0.0018046974,0.0007735765,0.0,0.0,0.0,0.0,-1.0
46008437,46008384,-0.007809384,0.006173077,0.00021868505,0.0,0.0,0.0,0.0,-1.0
46111695,46111622,-0.016056927,0.008917533,-0.0016828759,0.0,0.0,0.0,0.0,-1.0
46213355,46213303,0.01630959,0.011713574,-0.000990592,0.0,0.0,0.0,0.0,-1.0
46314383,46314330,0.003121274,-0.0058306707,0.0018932883,0.0,0.0,0.0,0.0,-1.0
46415436,46415384,0.0032806806,-0.0034343603,0.0009189771,0.0,0.0,0.0,0.0,-1.0
46518362,46518308,0.0005985643,-0.0035043915,-0.0014839969,0.0,0.0,0.0,0.0,-1.0
46618359,46618307,0.014889847,0.014137279,0.0015261176,0.0,0.0,0.0,0.0,-1.0
46718359,46718305,0.004994615,0.0015822437,-0.0015325161,0.0,0.0,0.0,0.0,-1.0
46820359,46820307,0.0052424367,0.010501822,0.0003355442,0.0,0.0,0.0,0.0,-1.0
46921352,46921298,0.00899094,0.010985687,-0.001567467,0.0,0.0,0.0,0.0,-1.0
47023357,47023303,-0.009022256,-0.0005596528,0.0004647821,0.0,0.0,0.0,0.0,-1.0
47127355,47127301,-0.00037784502,0.0026989554,0.0018414911,0.0,0.0,0.0,0.0,-1.0
47228359,47228305,0.009149363,-0.0020800417,0.0011736703,0.0,0.0,0.0,0.0,-1.0
47330436,47330384,-0.006809555,0.008411997,0.00025731084,0.0,0.0,0.0,0.0,-1.0
47430358,47430306,-0.0019224945,-0.010140639,0.0018379852,0.0,0.0,0.0,0.0,-1.0
47531355,47531303,0.007609576,0.013142343,0.0016079007,0.0,0.0,0.0,0.0,-1.0
47633356,47633302,0.002192147,-0.00072174234,0.0007006386,0.0,0.0,0.0,0.0,-1.0
47734411,47734359,-0.0036871638,-0.008549337,0.00096528133,0.0,0.0,0.0,0.0,-1.0
47834381,47834328,0.003503841,-0.013437968,0.00016081592,0.0,0.0,0.0,0.0,-1.0
47939384,47939332,-0.0042457245,-0.0063209105,-8.188362e-06,0.0,0.0,0.0,0.0,-1.0
48037032,48036980,0.003772616,-0.0037790795,-0.0006974161,0.0,0.0,0.0,0.0,-1.0
48140355,48140302,-0.006556741,0.004312014,0.0010736324,0.0,0.0,0.0,0.0,-1.0
48239396,48239343,-0.0002087187,0.012454188,0.0017785579,0.0,0.0,0.0,0.0,-1.0
48342349,48342297,0.004715723,-0.010952986,-0.00048745034,0.0,0.0,0.0,0.0,-1.0
48443354,48443302,-0.007796135,-0.0010398788,-0.001091787,0.0,0.0,0.0,0.0,-1.0
48548354,48548302,0.0070259394,0.0107968375,5.304365e-05,0.0,0.0,0.0,0.0,-1.0
48646359,48646305,0.010714562,0.013166521,-1.7868242e-05,0.0,0.0,0.0,0.0,-1.0
48750432,48750380,-0.010506931,0.013265192,-0.0010564298,0.0,0.0,0.0,0.0,-1.0
48851354,48851302,0.012612054,-0.0051094396,-0.0014464365,0.0,0.0,0.0,0.0,-1.0
48951356,48951304,0.009548105,0.010034094,-0.0016451126,0.0,0.0,0.0,0.0,-1.0
49360388,49360317,-0.0032616323,0.0021398459,0.0004651744,0.0,0.0,0.0,0.0,-1.0
49459401,49459349,0.0047983034,0.009361999,0.00039541768,0.0,0.0,0.0,0.0,-1.0
49561355,49561302,0.00485667,0.0105231935,-0.0011426852,0.0,0.0,0.0,0.0,-1.0
49663432,49663380,-0.0077536046,0.011135535,0.0018240631,0.0,0.0,0.0,0.0,-1.0
49763356,49763304,-0.00038435566,0.011277601,0.001576526,0.0,0.0,0.0,0.0,-1.0
49864383,49864329,0.010480387,-0.0033372329,-0.0005175418,0.0,0.0,0.0,0.0,-1.0
49967356,49967302,0.0053656264,0.008855153,0.0012119323,0.0,0.0,0.0,0.0,-1.0
50069413,50069361,0.005431975,0.01705533,-0.0012666727,0.0,0.0,0.0,0.0,-1.0
50171358,50171305,-0.0045047626,-0.010283661,0.000707335,0.0,0.0,0.0,0.0,-1.0
50272352,50272299,-0.0030012876,-0.0049483087,-0.0008741377,0.0,0.0,0.0,0.0,-1.0
50373389,50373310,-0.0055807857,-0.008239412,5.4492128e-05,0.0,0.0,0.0,0.0,-1.0
50475352,50475300,0.0060650017,-0.00031519367,0.00028639246,0.0,0.0,0.0,0.0,-1.0
50578354,50578302,-0.013684319,0.006829976,-0.0006724196,0.0,0.0,0.0,0.0,-1.0
50678387,50678311,0.0019406714,0.0047194595,-0.0012084113,0.0,0.0,0.0,0.0,-1.0
50781360,50781306,-0.0006046451,-0.00012248429,4.8872107e-06,0.0,0.0,0.0,0.0,-1.0
50880354,50880302,-0.0027312753,-0.008397938,0.0012716453,0.0,0.0,0.0,0.0,-1.0
50981352,50981296,-0.0016613681,-0.0020831956,-0.0017271513,0.0,0.0,0.0,0.0,-1.0
51082436,51082382,0.002683922,-0.00052423973,-0.0002722075,0.0,0.0,0.0,0.0,-1.0
