timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
42398848,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
43113478,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
43217557,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
46999060,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
47012455,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
52017520,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
67043625,999.0,999.0,999.0,999.0,999.0,999.0,999.0,183,1,0,0,0,0,1
87806668,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,0,0,0,1
88321072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,1,0,0,0,0,1
