timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
24737398,0.0,-0.0,0.008592173,0.0,0.99999076,0.0,0.0,0.0042960737,0.0,0.0,-0.0,1,0,0,0,0,0
31321769,-0.0,-0.0,-0.001437184,0.0,0.99999976,-0.0,0.0,-0.00071859197,0.0,0.0,-0.0,1,0,0,0,0,0
31415183,-0.0,-0.0,-0.0017426473,0.0,0.99999964,-0.0,0.0,-0.00087132346,0.0,0.0,-0.0,1,0,0,0,0,0
31510569,-0.0,-0.0,-0.0019951796,0.0,0.9999995,-0.0,0.0,-0.0009975896,0.0,0.0,-0.0,1,0,0,0,0,0
31608158,-0.0,-0.0,-0.0020853402,0.0,0.99999946,-0.0,0.0,-0.00104267,0.0,0.0,-0.0,1,0,0,0,0,0
31726494,-0.0,-0.0,-0.0022951574,0.0,0.99999934,-0.0,0.0,-0.0011475785,0.0,0.0,-0.0,1,0,0,0,0,0
31819221,-0.0,-0.0,-0.0022026668,0.0,0.9999994,-0.0,0.0,-0.0011013333,0.0,0.0,-0.0,1,0,0,0,0,0
31917430,-0.0,-0.0,-0.0023512915,0.0,0.9999993,-0.0,0.0,-0.0011756455,0.0,0.0,-0.0,1,0,0,0,0,0
32012129,-0.0,-0.0,-0.0023054346,0.0,0.99999934,-0.0,0.0,-0.0011527172,0.0,0.0,-0.0,1,0,0,0,0,0
32133492,-0.0,-0.0,-0.0025504394,0.0,0.9999992,-0.0,0.0,-0.0012752195,0.0,0.0,-0.0,1,0,0,0,0,0
32229598,-0.0,-0.0,-0.002481788,0.0,0.9999992,-0.0,0.0,-0.0012408938,0.0,0.0,-0.0,1,0,0,0,0,0
32321164,-0.0,-0.0,-0.0024313116,0.0,0.9999993,-0.0,0.0,-0.0012156556,0.0,0.0,-0.0,1,0,0,0,0,0
32425175,-0.0,-0.0,-0.0023349838,0.0,0.99999934,-0.0,0.0,-0.0011674918,0.0,0.0,-0.0,1,0,0,0,0,0
32520186,-0.0,-0.0,-0.0024796666,0.0,0.9999992,-0.0,0.0,-0.0012398332,0.0,0.0,-0.0,1,0,0,0,0,0
32619519,-0.0,-0.0,-0.0025704342,0.0,0.99999917,-0.0,0.0,-0.0012852168,0.0,0.0,-0.0,1,0,0,0,0,0
32738504,-0.0,-0.0,-0.0025400277,0.0,0.99999917,-0.0,0.0,-0.0012700135,0.0,0.0,-0.0,1,0,0,0,0,0
32835158,-0.0,-0.0,-0.002706116,0.0,0.9999991,-0.0,0.0,-0.0013530577,0.0,0.0,-0.0,1,0,0,0,0,0
32931167,-0.0,-0.0,-0.002717188,0.0,0.99999905,-0.0,0.0,-0.0013585937,0.0,0.0,-0.0,1,0,0,0,0,0
33027693,-0.0,-0.0,-0.0027299114,0.0,0.9999991,-0.0,0.0,-0.0013649553,0.0,0.0,-0.0,1,0,0,0,0,0
33135594,-0.0,-0.0,-0.002900707,0.0,0.999999,-0.0,0.0,-0.0014503532,0.0,0.0,-0.0,1,0,0,0,0,0
33235516,-0.0,-0.0,-0.0028516313,0.0,0.999999,-0.0,0.0,-0.0014258152,0.0,0.0,-0.0,1,0,0,0,0,0
33335582,-0.0,-0.0,-0.0029028214,0.0,0.999999,-0.0,0.0,-0.0014514102,0.0,0.0,-0.0,1,0,0,0,0,0
33431146,-0.0,-0.0,-0.002721084,0.0,0.99999905,-0.0,0.0,-0.0013605417,0.0,0.0,-0.0,1,0,0,0,0,0
33552215,-0.0,-0.0,-0.0030388436,0.0,0.99999887,-0.0,0.0,-0.0015194213,0.0,0.0,-0.0,1,0,0,0,0,0
33645505,-0.0,-0.0,-0.0028510818,0.0,0.999999,-0.0,0.0,-0.0014255404,0.0,0.0,-0.0,1,0,0,0,0,0
33737147,-0.0,-0.0,-0.0028767714,0.0,0.999999,-0.0,0.0,-0.0014383852,0.0,0.0,-0.0,1,0,0,0,0,0
33852202,-0.0,-0.0,-0.0030107796,0.0,0.99999887,-0.0,0.0,-0.0015053892,0.0,0.0,-0.0,1,0,0,0,0,0
33949134,-0.0,-0.0,-0.0031169527,0.0,0.9999988,-0.0,0.0,-0.0015584757,0.0,0.0,-0.0,1,0,0,0,0,0
34045163,-0.0,-0.0,-0.0031831055,0.0,0.99999875,-0.0,0.0,-0.0015915522,0.0,0.0,-0.0,1,0,0,0,0,0
34141137,-0.0,-0.0,-0.003286685,0.0,0.9999987,-0.0,0.0,-0.0016433421,0.0,0.0,-0.0,1,0,0,0,0,0
34264191,-0.0,-0.0,-0.0034656099,0.0,0.9999985,-0.0,0.0,-0.0017328041,0.0,0.0,-0.0,1,0,0,0,0,0
