timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
30420315,0.008415284,0.0005391832,0.0047132727,3993,-3993,0.008393121,0.05634015,-9.892306,4019
30442420,0.0047380277,0.0068298606,0.00090165687,631,-631,0.071224675,0.031681396,-9.913939,597
30444001,0.0052050827,-0.004904374,0.001039276,979,-979,0.015827421,-0.0015627164,-9.942159,602
30448310,0.0018220468,-0.007812458,0.007112008,4309,-4309,0.011451663,-0.06457599,-9.889395,979
30452309,0.0031405906,-0.003981544,-0.008479566,3999,-3999,0.06811316,0.07131427,-9.878888,4309
30455388,-0.0047556623,0.0019404487,-0.0087070195,3079,-3079,-0.022081887,-0.021157421,-9.707552,3999
30460305,-0.008416355,-0.0068798033,0.0011309362,4917,-4917,-0.08564914,0.012553878,-9.733478,3079
30464345,0.0063196355,-0.008854757,0.0076440456,4040,-4040,0.09485886,-0.0069678477,-9.782062,4917
30468310,0.003394962,0.0060272925,0.0030349658,3965,-3965,0.09284028,0.09138442,-9.943641,4040
30472313,-0.0008729396,0.0007074781,0.008669616,4003,-4003,-0.0027426127,0.08935203,-9.886976,3965
30476312,0.008504032,-0.009415733,-0.009764951,3999,-3999,-0.095093034,-0.06050028,-9.643625,4003
30480309,0.0036199596,-0.0047736997,-0.007306228,3997,-3997,-0.028585196,-0.028215047,-9.631269,3999
30483305,0.0006586978,0.008430484,0.004224605,2996,-2996,0.033743337,-0.03583779,-9.634658,3997
30488432,-0.009265949,-0.008858044,0.0029373108,5127,-5127,-0.075738974,0.074246794,-9.726656,2996
30492303,0.0054845046,0.0039189286,-0.0044841226,3871,-3871,0.055040546,0.06591483,-9.940559,5127
30498237,-0.0062257424,-0.00054491695,0.009459799,1925,-1925,0.021871971,-0.005461298,-9.620348,4009
30505309,-0.008266374,0.00743042,0.003987135,7072,-7072,0.0022216828,0.011964877,-9.61115,1925
30508308,0.0070541776,0.0030660415,-0.0082262885,2999,-2999,0.030827777,0.036680654,-9.759143,7072
30512316,-0.00043683444,-0.009039354,0.00077527924,4008,-4008,-0.07754007,0.09173044,-9.944582,2999
30516310,0.0009932604,-0.004580928,-0.00623547,3994,-3994,-0.015984569,-0.08647404,-9.80995,4008
30521447,-0.006271645,0.008344654,0.00045169005,5137,-5137,0.04314078,-0.021809533,-9.967543,3994
30525314,-0.0010097385,-0.003934105,0.0012008847,3867,-3867,0.06709518,0.047175474,-9.719418,5137
30530318,0.009324612,-0.0005031805,0.003269269,5004,-5004,-0.031243082,-0.042322323,-9.602356,3867
30534330,0.0088364165,-0.008448013,-0.0026842358,4012,-4012,0.09752691,0.088749,-9.618355,5004
30538318,-0.0063529075,-0.0057620266,0.0060502803,3988,-3988,0.09896972,-0.04863897,-9.682485,4012
30542310,0.0066801817,-0.002382263,0.007064649,3992,-3992,-0.015957817,-0.07518458,-9.946925,3988
30546310,0.0067456956,0.0013341444,0.0025652603,4000,-4000,-0.0030260198,-0.027306838,-9.992838,3992
30551312,-0.005097171,0.002965465,-0.005669156,5002,-5002,0.095097415,-0.058743272,-9.677074,4000
