timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt
39244302,-0.0008729396,0.0007074781,0.008669616,3979,-3979,-0.0027426127,0.08935203,-9.886976,4027
39262382,0.008504032,-0.009415733,-0.009764951,18080,-18080,-0.095093034,-0.06050028,-9.643625,3979
39265895,0.0054845046,0.0039189286,-0.0044841226,758,-758,0.055040546,0.06591483,-9.940559,601
39268316,-0.0019281387,0.005428658,-0.0046463106,2421,-2421,0.04733872,-0.054334827,-9.634438,758
39272302,-0.0062257424,-0.00054491695,0.009459799,3986,-3986,0.021871971,-0.005461298,-9.620348,2421
39275323,-0.008266374,0.00743042,0.003987135,3021,-3021,0.0022216828,0.011964877,-9.61115,3986
39282316,0.0070541776,0.0030660415,-0.0082262885,6993,-6993,0.030827777,0.036680654,-9.759143,3021
39285347,-0.00043683444,-0.009039354,0.00077527924,3031,-3031,-0.07754007,0.09173044,-9.944582,6993
39288381,0.0009932604,-0.004580928,-0.00623547,3034,-3034,-0.015984569,-0.08647404,-9.80995,3031
39292302,-0.006271645,0.008344654,0.00045169005,3921,-3921,0.04314078,-0.021809533,-9.967543,3034
39296302,-0.007536206,0.0086045135,-0.008445219,4000,-4000,0.06709518,0.047175474,-9.719418,3921
39300347,0.009324612,-0.0005031805,0.003269269,4045,-4045,0.068731405,0.078191094,-9.886236,4000
39304303,-0.0012501436,0.0030458472,0.0066018514,3956,-3956,0.09752691,0.088749,-9.618355,4045
39307033,0.0088364165,-0.008448013,-0.0026842358,2730,-2730,-0.065288335,0.0044595324,-9.719548,3956
39312305,0.0066801817,-0.002382263,0.007064649,5272,-5272,0.09896972,-0.04863897,-9.682485,2730
39315321,-0.0061874967,0.0013054878,-0.004443234,3016,-3016,-0.0030260198,-0.027306838,-9.992838,5272
39319305,0.0067456956,0.0013341444,0.0025652603,3984,-3984,-0.05831528,0.053985912,-9.653409,3016
39324304,-0.008148001,0.0005711687,-0.001506048,4999,-4999,0.095097415,-0.058743272,-9.677074,3984
39328309,-0.003438616,-0.0003672907,0.007850964,4005,-4005,0.05965314,-0.09434621,-9.728312,4999
39335510,-0.008685054,0.00030256945,0.006142901,1199,-1199,-0.05150031,-0.004331362,-9.640095,6002
39341302,-0.009714252,0.005284778,0.0037315297,5792,-5792,0.03427606,0.0027985862,-9.894899,1199
39345323,0.005763619,0.0031851453,-0.0023927637,4021,-4021,0.07772294,0.035836704,-9.609837,5792
39349305,0.009149541,-0.0072635305,0.0048194523,3982,-3982,-0.026560731,-0.0488048,-9.721066,4021
39353306,-0.003654748,0.0018442814,0.00053471414,4001,-4001,-0.0062092445,-0.0623159,-9.984465,3982
39357309,0.0046967315,-0.0013868577,-0.0024607289,4003,-4003,0.04123179,0.056656945,-9.725611,4001
39361302,-0.002031806,-0.008916726,0.0025309622,3993,-3993,-0.045281783,-0.01891393,-9.998398,4003
39366301,-0.008561181,-0.0034192055,-0.0021191316,4999,-4999,-0.05092532,-0.08641466,-9.897844,3993
39369296,0.0040547694,-0.00879906,-0.0012584602,2995,-2995,0.09815317,0.02884312,-9.90125,4999
39373302,0.0085068885,-0.0058068284,0.009059809,4006,-4006,0.0027196803,-0.09980651,-9.655777,2995
39377303,-0.0047236546,0.0046377415,0.008212192,4001,-4001,-0.09033374,-0.04795574,-9.8657255,4006
39382302,-0.006474381,0.009698354,5.1390234e-05,4999,-4999,-0.03917505,0.007880401,-9.679099,4001
