timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
28798444,0,32767,32767,32767,-72,-72,32767
28815487,0,32767,32767,32767,-201,-201,32767
28819429,0,32767,32767,32767,-15,-15,32767
28824296,0,32767,32767,32767,-54,-54,32767
28828309,0,32767,-31,32767,-89,-89,32767
28830402,0,32767,32767,32767,-62,-62,32767
28835303,0,32767,32767,32767,-70,-70,32767
28840296,0,32767,32767,32767,-98,-98,32767
28844342,0,32767,32767,32767,-90,-90,32767
28850296,0,32767,32767,32767,-100,-100,32767
28853318,0,32767,32767,32767,-90,-90,32767
28859298,0,32767,32767,32767,-90,-90,32767
28864302,0,32767,32767,32767,-110,-110,32767
28867358,0,32767,32767,32767,-81,-81,32767
28870296,0,32767,32767,32767,-59,-59,32767
28874312,0,32767,32767,32767,-70,-70,32767
28880387,0,32767,32767,32767,-101,-101,32767
28883314,0,32767,32767,32767,-90,-90,32767
28886372,0,32767,32767,32767,-60,-60,32767
28890296,0,32767,32767,32767,-69,-69,32767
28894305,0,32767,32767,32767,-80,-80,32767
28898303,0,32767,32767,32767,-81,-81,32767
28902416,0,32767,32767,32767,-81,-81,32767
28905115,0,32767,32767,32767,-68,-68,32767
28911305,0,32767,32767,32767,-89,-89,32767
28915303,0,32767,32767,32767,-102,-102,32767
28919316,0,32767,32767,32767,-80,-80,32767
28922554,0,32767,32767,32767,-72,-72,32767
28927339,0,32767,-43,32767,-80,-80,32767
28931302,0,32767,32767,32767,-88,-88,32767
28935458,0,32767,32767,32767,-81,-81,32767
28940302,0,32767,32767,32767,-90,-90,32767
28944296,0,32767,32767,32767,-88,-88,32767
28948304,0,32767,32767,32767,-80,-80,32767
28954305,0,32767,32767,32767,-101,-101,32767
28959303,0,32767,32767,32767,-110,-110,32767
28962341,0,32767,32767,32767,-80,-80,32767
28965296,0,32767,32767,32767,-59,-59,32767
28970352,0,32767,32767,32767,-80,-80,32767
28974303,0,32767,32767,32767,-91,-91,32767
28978317,0,32767,32767,32767,-80,-80,32767
28980629,0,32767,32767,32767,-63,-63,32767
28986301,0,32767,32767,32767,-80,-80,32767
28989314,0,32767,32767,32767,-87,-87,32767
28993302,0,32767,32767,32767,-70,-70,32767
28999296,0,32767,32767,32767,-99,-99,32767
29002342,0,32767,32767,32767,-90,-90,32767
29005384,0,32767,32767,32767,-61,-61,32767
29009302,0,32767,32767,32767,-70,-70,32767
29015308,0,32767,32767,32767,-100,-100,32767
29018296,0,32767,32767,32767,-89,-89,32767
29021308,0,32767,32767,32767,-60,-60,32767
29025379,0,32767,-27,32767,-71,-71,32767
29029304,0,32767,32767,32767,-80,-80,32767
29033350,0,32767,32767,32767,-80,-80,32767
29039860,0,32767,32767,32767,-65,-65,32767
29045296,0,32767,32767,32767,-70,-70,32767
29049303,0,32767,32767,32767,-95,-95,32767
29053303,0,32767,32767,32767,-81,-81,32767
29059298,0,32767,32767,32767,-99,-99,32767
29062353,0,32767,32767,32767,-90,-90,32767
29067329,0,32767,32767,32767,-81,-81,32767
29071296,0,32767,32767,32767,-89,-89,32767
29078296,0,32767,32767,32767,-70,-70,32767
29085346,0,32767,32767,32767,-71,-71,32767
29091379,0,32767,32767,32767,-90,-90,32767
29094300,0,32767,32767,32767,-90,-90,32767
29098301,0,32767,32767,32767,-70,-70,32767
29102415,0,32767,32767,32767,-81,-81,32767
29106303,0,32767,32767,32767,-80,-80,32767
29110347,0,32767,32767,32767,-79,-79,32767
29114302,0,32767,32767,32767,-80,-80,32767
29118302,0,32767,32767,32767,-80,-80,32767
29123302,0,32767,32767,32767,-90,-90,32767
29127322,0,32767,-29,32767,-90,-90,32767
29130296,0,32767,32767,32767,-69,-69,32767
29135402,0,32767,32767,32767,-81,-81,32767
29139302,0,32767,32767,32767,-91,-91,32767
29142328,0,32767,32767,32767,-69,-69,32767
29146380,0,32767,32767,32767,-70,-70,32767
29150323,0,32767,32767,32767,-80,-80,32767
29154304,0,32767,32767,32767,-80,-80,32767
29159347,0,32767,32767,32767,-90,-90,32767
29162499,0,32767,32767,32767,-81,-81,32767
29168430,0,32767,32767,32767,-91,-91,32767
29172347,0,32767,32767,32767,-99,-99,32767
29176303,0,32767,32767,32767,-79,-79,32767
29181302,0,32767,32767,32767,-90,-90,32767
29184303,0,32767,32767,32767,-80,-80,32767
29189311,0,32767,32767,32767,-80,-80,32767
29193296,0,32767,32767,32767,-89,-89,32767
29199301,0,32767,32767,32767,-100,-100,32767
29202349,0,32767,32767,32767,-91,-91,32767
29205302,0,32767,32767,32767,-60,-60,32767
29209302,0,32767,32767,32767,-70,-70,32767
29213302,0,32767,32767,32767,-80,-80,32767
29218302,0,32767,32767,32767,-90,-90,32767
29222515,0,32767,32767,32767,-92,-92,32767
29227331,0,32767,-38,32767,-90,-90,32767
29231302,0,32767,32767,32767,-88,-88,32767
29235302,0,32767,32767,32767,-80,-80,32767
29239054,0,32767,32767,32767,-77,-77,32767
29244302,0,32767,32767,32767,-90,-90,32767
29248302,0,32767,32767,32767,-93,-93,32767
29252374,0,32767,32767,32767,-80,-80,32767
29254000,0,32767,32767,32767,-57,-57,32767
29259312,0,32767,32767,32767,-70,-70,32767
29263296,0,32767,32767,32767,-92,-92,32767
29270838,0,32767,32767,32767,-76,-76,32767
29275316,0,32767,32767,32767,-70,-70,32767
29280303,0,32767,32767,32767,-95,-95,32767
29284302,0,32767,32767,32767,-90,-90,32767
29291302,0,32767,32767,32767,-70,-70,32767
29295303,0,32767,32767,32767,-60,-60,32767
29301305,0,32767,32767,32767,-100,-100,32767
29304319,0,32767,32767,32767,-90,-90,32767
29309303,0,32767,32767,32767,-80,-80,32767
29313342,0,32767,32767,32767,-90,-90,32767
29319305,0,32767,32767,32767,-100,-100,32767
29322454,0,32767,32767,32767,-91,-91,32767
29330299,0,32767,32767,32767,-78,-78,32767
29335304,0,32767,32767,32767,-79,-79,32767
29339306,0,32767,32767,32767,-91,-91,32767
29342324,0,32767,32767,32767,-70,-70,32767
29346306,0,32767,32767,32767,-70,-70,32767
29352371,0,32767,32767,32767,-100,-100,32767
29355529,0,32767,32767,32767,-92,-92,32767
29362058,0,32767,32767,32767,-65,-65,32767
29372352,0,32767,32767,32767,-103,-103,32767
29375309,0,32767,32767,32767,-60,-60,32767
29381313,0,32767,32767,32767,-90,-90,32767
29385296,0,32767,32767,32767,-99,-99,32767
29389303,0,32767,32767,32767,-80,-80,32767
29393327,0,32767,32767,32767,-81,-81,32767
29398320,0,32767,32767,32767,-90,-90,32767
29401317,0,32767,32767,32767,-80,-80,32767
29404372,0,32767,32767,32767,-60,-60,32767
29409305,0,32767,32767,32767,-80,-80,32767
29413310,0,32767,32767,32767,-90,-90,32767
29421427,0,32767,32767,32767,-81,-81,32767
29424762,0,32767,-4,32767,-64,-64,32767
29430296,0,32767,32767,32767,-88,-88,32767
29434296,0,32767,32767,32767,-95,-95,32767
29438302,0,32767,32767,32767,-81,-81,32767
29443381,0,32767,32767,32767,-91,-91,32767
29447323,0,32767,32767,32767,-90,-90,32767
29451305,0,32767,32767,32767,-80,-80,32767
29454013,0,32767,32767,32767,-67,-67,32767
29459296,0,32767,32767,32767,-79,-79,32767
29463296,0,32767,32767,32767,-92,-92,32767
29468317,0,32767,32767,32767,-91,-91,32767
29472376,0,32767,32767,32767,-91,-91,32767
29475299,0,32767,32767,32767,-69,-69,32767
29480321,0,32767,32767,32767,-80,-80,32767
29484304,0,32767,32767,32767,-91,-91,32767
29489303,0,32767,32767,32767,-90,-90,32767
29492522,0,32767,32767,32767,-82,-82,32767
29496303,0,32767,32767,32767,-70,-70,32767
29500303,0,32767,32767,32767,-78,-78,32767
29505302,0,32767,32767,32767,-90,-90,32767
29508319,0,32767,32767,32767,-80,-80,32767
29513302,0,32767,32767,32767,-80,-80,32767
29519305,0,32767,32767,32767,-110,-110,32767
29522347,0,32767,32767,32767,-90,-90,32767
29523113,0,32767,-2,32767,-38,-38,32767
29529302,0,32767,32767,32767,-70,-70,32767
29532540,0,32767,32767,32767,-94,-94,32767
29540309,0,32767,32767,32767,-78,-78,32767
29544370,0,32767,32767,32767,-69,-69,32767
29549302,0,32767,32767,32767,-90,-90,32767
29552417,0,32767,32767,32767,-81,-81,32767
29556302,0,32767,32767,32767,-70,-70,32767
29560313,0,32767,32767,32767,-79,-79,32767
29565347,0,32767,32767,32767,-90,-90,32767
29569309,0,32767,32767,32767,-90,-90,32767
29572480,0,32767,32767,32767,-71,-71,32767
29576302,0,32767,32767,32767,-70,-70,32767
29581303,0,32767,32767,32767,-89,-89,32767
29584303,0,32767,32767,32767,-80,-80,32767
