timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
29635296,-0.023134148,0.025721505,0.16493452,-1.3060868e-05,-0.0063393167,-0.10367966,0.0,0.0,0.0,-0.006898413,0.0,0.0,0.0,0.0,0.0,0.26988077,0.26988077,0.14730795,0.27494758,0.27494755,4.033865,0.0,0.0,0.0,0.09075907,0.0,0.0,0.0,0.0,0.0,0.00080136186,0.012683358,0.022677135,0.0,0.0,0.0,0.0,0.0,0.0
29847305,-0.05536438,0.003648022,0.169597,-0.033010393,-0.014113833,-0.047836304,0.0,0.0,0.0,0.002007428,0.0,0.0,0.0,0.0,0.0,0.27000275,0.27000272,0.1470403,0.27423605,0.27423602,4.034393,0.0,0.0,0.0,0.090755165,0.0,0.0,0.0,0.0,0.0,0.0007473955,0.01788135,0.0328246,0.0,0.0,0.0,0.0,0.0,0.0
30052302,-0.035933882,0.041392542,0.095371455,0.1308302,-0.14235638,-0.061580658,0.0,0.0,0.0,0.007268514,0.0,0.0,0.0,0.0,0.0,0.27168465,0.2716846,0.14655405,0.27419895,0.27419895,4.0345736,0.0,0.0,0.0,0.09075869,0.0,0.0,0.0,0.0,0.0,0.0010400858,0.015480761,0.030430775,0.0,0.0,0.0,0.0,0.0,0.0
30258414,-0.0379349,0.017498769,-0.126316,0.008173503,-0.08383387,0.009391785,0.0,0.0,0.0,0.0039648977,0.0,0.0,0.0,0.0,0.0,0.27439988,0.2743998,0.14617464,0.2744114,0.27441138,4.0345235,0.0,0.0,0.0,0.09075294,0.0,0.0,0.0,0.0,0.0,0.0010050753,0.011400586,0.01985534,0.0,0.0,0.0,0.0,0.0,0.0
30458323,-0.07060954,0.06727644,-0.08961334,0.10941842,-0.031327426,-0.007282257,0.0,0.0,0.0,0.005214135,0.0,0.0,0.0,0.0,0.0,0.2773714,0.27737138,0.1459172,0.2747125,0.2747125,4.0342064,0.0,0.0,0.0,0.090749055,0.0,0.0,0.0,0.0,0.0,0.0010148403,0.0067808726,0.010866793,0.0,0.0,0.0,0.0,0.0,0.0
30661134,-0.062350642,-0.038296726,0.039946835,0.01761908,-0.08182295,-0.03420639,0.0,0.0,0.0,0.002128298,0.0,0.0,0.0,0.0,0.0,0.27933872,0.2793387,0.14576024,0.27501822,0.27501822,4.0341415,0.0,0.0,0.0,0.09074234,0.0,0.0,0.0,0.0,0.0,0.0009646173,0.014149711,0.016168615,0.0,0.0,0.0,0.0,0.0,0.0
30868367,-0.044647217,0.06271698,0.09953683,0.041604444,-0.013188399,-0.133564,0.0,0.0,0.0,0.0041331924,0.0,0.0,0.0,0.0,0.0,0.28013977,0.28013977,0.14566801,0.27505472,0.27505472,4.0339437,0.0,0.0,0.0,0.09073751,0.0,0.0,0.0,0.0,0.0,0.00078060525,0.008953841,0.009586297,0.0,0.0,0.0,0.0,0.0,0.0
31068428,-0.0146063,0.015306886,-0.0033601467,-0.14289033,0.107992835,-0.0058288574,0.0,0.0,0.0,0.0021561924,0.0,0.0,0.0,0.0,0.0,0.28025913,0.2802592,0.14566411,0.275205,0.27520496,4.03374,0.0,0.0,0.0,0.0907321,0.0,0.0,0.0,0.0,0.0,0.000947947,0.011385555,0.01271977,0.0,0.0,0.0,0.0,0.0,0.0
31273327,-0.05982206,0.008914184,0.069944374,-0.12503663,-0.079574496,-0.0927124,0.0,0.0,0.0,0.00081805093,0.0,0.0,0.0,0.0,0.0,0.27948946,0.27948952,0.14568436,0.27526602,0.27526602,4.0335207,0.0,0.0,0.0,0.09072462,0.0,0.0,0.0,0.0,0.0,0.0014827108,0.021781255,0.027599653,0.0,0.0,0.0,0.0,0.0,0.0
31477305,-0.047452845,0.02354911,0.01010688,0.09963016,0.04470289,-0.09648514,0.0,0.0,0.0,-0.0014444389,0.0,0.0,0.0,0.0,0.0,0.27833977,0.27833986,0.14575383,0.27550673,0.27550673,4.0333786,0.0,0.0,0.0,0.09071707,0.0,0.0,0.0,0.0,0.0,0.0010695744,0.0140891,0.018342035,0.0,0.0,0.0,0.0,0.0,0.0
31676298,0.027569132,-0.06829435,0.09858194,-0.108775005,0.10057612,-0.109134674,0.0,0.0,0.0,0.0036492872,0.0,0.0,0.0,0.0,0.0,0.27601418,0.27601433,0.14588949,0.2755165,0.2755165,4.033127,0.0,0.0,0.0,0.090709396,0.0,0.0,0.0,0.0,0.0,0.00081356446,0.014629352,0.026836183,0.0,0.0,0.0,0.0,0.0,0.0
31877303,0.033950157,-0.0067876447,-0.06429287,0.13881429,0.1515084,0.024333954,0.0,0.0,0.0,-0.0013800231,0.0,0.0,0.0,0.0,0.0,0.27440202,0.27440214,0.14601393,0.2754011,0.2754011,4.0326056,0.0,0.0,0.0,0.090702765,0.0,0.0,0.0,0.0,0.0,0.00094314775,0.022434792,0.03253963,0.0,0.0,0.0,0.0,0.0,0.0
32080302,0.02234599,0.0038830917,-0.027379982,0.061785057,0.008678219,-0.12511826,0.0,0.0,0.0,0.0036610279,0.0,0.0,0.0,0.0,0.0,0.2735821,0.27358222,0.14608702,0.2753085,0.27530846,4.0328174,0.0,0.0,0.0,0.09069846,0.0,0.0,0.0,0.0,0.0,0.00083309656,0.016899306,0.023047693,0.0,0.0,0.0,0.0,0.0,0.0
32286347,-0.033495784,0.04175018,-0.15916106,-0.10434094,0.07465712,-0.092414856,0.0,0.0,0.0,-0.0011436453,0.0,0.0,0.0,0.0,0.0,0.271354,0.27135408,0.14629123,0.27546299,0.275463,4.0326257,0.0,0.0,0.0,0.09068666,0.0,0.0,0.0,0.0,0.0,0.00072787725,0.017350985,0.025812626,0.0,0.0,0.0,0.0,0.0,0.0
32487304,0.113069184,-0.14168936,0.02572437,0.07708158,-0.020653699,-0.033016205,0.0,0.0,0.0,0.005220884,0.0,0.0,0.0,0.0,0.0,0.26977438,0.2697744,0.14641495,0.2751969,0.2751969,4.0324783,0.0,0.0,0.0,0.09067872,0.0,0.0,0.0,0.0,0.0,0.00051003654,0.019472398,0.022278206,0.0,0.0,0.0,0.0,0.0,0.0
32693324,0.11345847,-0.046741985,0.023391515,0.12721938,-0.15691274,-0.08501816,0.0,0.0,0.0,0.018558664,0.0,0.0,0.0,0.0,0.0,0.26835153,0.26835144,0.14653628,0.2750023,0.2750023,4.0324526,0.0,0.0,0.0,0.09067082,0.0,0.0,0.0,0.0,0.0,0.0013914781,0.04683244,0.05801612,0.0,0.0,0.0,0.0,0.0,0.0
32898424,-0.00044723827,0.062069688,-0.06161835,0.04558552,-0.06295909,-0.1886177,0.0,0.0,0.0,0.0043884907,0.0,0.0,0.0,0.0,0.0,0.26711294,0.2671128,0.14665684,0.27489272,0.27489275,4.0319624,0.0,0.0,0.0,0.09066094,0.0,0.0,0.0,0.0,0.0,0.0012086554,0.03099775,0.046095025,0.0,0.0,0.0,0.0,0.0,0.0
33099305,0.029722944,-0.035601225,-0.08383475,-0.07378535,0.02110371,0.0025100708,0.0,0.0,0.0,0.0018175425,0.0,0.0,0.0,0.0,0.0,0.2659225,0.2659224,0.14675587,0.27455717,0.27455717,4.031874,0.0,0.0,0.0,0.09065318,0.0,0.0,0.0,0.0,0.0,0.00048866286,0.012506818,0.021111649,0.0,0.0,0.0,0.0,0.0,0.0
33303370,0.00012839958,0.032795943,-0.18526414,0.12734593,-0.0014529303,-0.10163498,0.0,0.0,0.0,0.008606553,0.0,0.0,0.0,0.0,0.0,0.26489592,0.26489583,0.14685822,0.27441868,0.27441868,4.0322714,0.0,0.0,0.0,0.090644196,0.0,0.0,0.0,0.0,0.0,0.0002598857,0.02000489,0.031868257,0.0,0.0,0.0,0.0,0.0,0.0
33503354,-0.023867093,-0.01744409,0.03206857,-0.04867644,0.010403123,-0.02028656,0.0,0.0,0.0,0.005292357,0.0,0.0,0.0,0.0,0.0,0.26400056,0.26400048,0.14694774,0.27422503,0.27422503,4.0323224,0.0,0.0,0.0,0.090636715,0.0,0.0,0.0,0.0,0.0,9.162925e-05,0.00811844,0.014598487,0.0,0.0,0.0,0.0,0.0,0.0
33703918,-0.013555083,0.012136843,0.050822597,-0.060125604,-0.17635477,-0.16804886,0.0,0.0,0.0,-0.0047929566,0.0,0.0,0.0,0.0,0.0,0.2631844,0.26318434,0.14702195,0.27400726,0.2740073,4.0323844,0.0,0.0,0.0,0.09062928,0.0,0.0,0.0,0.0,0.0,0.00037307804,0.01700573,0.029538522,0.0,0.0,0.0,0.0,0.0,0.0
33913347,0.042091925,-0.07440696,-0.12377447,-0.009400815,-0.006571249,-0.0528183,0.0,0.0,0.0,-0.008788148,0.0,0.0,0.0,0.0,0.0,0.26246142,0.26246142,0.14706604,0.27376157,0.27376157,4.0320535,0.0,0.0,0.0,0.09062019,0.0,0.0,0.0,0.0,0.0,0.0003392448,0.011838559,0.020831013,0.0,0.0,0.0,0.0,0.0,0.0
34114303,-0.004629099,-0.09184548,-0.18919326,-0.092450336,-0.13519362,-0.13502884,0.0,0.0,0.0,0.001966942,0.0,0.0,0.0,0.0,0.0,0.26180252,0.26180255,0.14708722,0.27332258,0.27332258,4.032071,0.0,0.0,0.0,0.09061299,0.0,0.0,0.0,0.0,0.0,0.00059303077,0.024098061,0.040252097,0.0,0.0,0.0,0.0,0.0,0.0
34315303,0.03732341,0.011433268,-0.1172517,0.015412986,-0.030443965,0.01941681,0.0,0.0,0.0,0.004727517,0.0,0.0,0.0,0.0,0.0,0.26130605,0.2613061,0.14715002,0.27310592,0.27310595,4.0321035,0.0,0.0,0.0,0.0906059,0.0,0.0,0.0,0.0,0.0,0.00040877957,0.016716147,0.027439123,0.0,0.0,0.0,0.0,0.0,0.0
34519390,0.06917696,0.042829607,-0.15727511,0.049823515,-0.036500115,-0.05804062,0.0,0.0,0.0,0.0007858583,0.0,0.0,0.0,0.0,0.0,0.26090395,0.26090407,0.14718376,0.27289757,0.27289757,4.0321712,0.0,0.0,0.0,0.09059887,0.0,0.0,0.0,0.0,0.0,0.00028457594,0.014367287,0.021180727,0.0,0.0,0.0,0.0,0.0,0.0
34718323,0.0076828515,0.05624501,-0.08835905,-0.006076403,0.11143987,-0.07214737,0.0,0.0,0.0,0.0072943866,0.0,0.0,0.0,0.0,0.0,0.2605993,0.26059943,0.14719667,0.27276137,0.27276137,4.0322084,0.0,0.0,0.0,0.09059086,0.0,0.0,0.0,0.0,0.0,0.00042708532,0.015169908,0.023482662,0.0,0.0,0.0,0.0,0.0,0.0
34921319,-0.04397854,-0.014927742,0.1424424,-0.0072818846,-0.131685,0.017539978,0.0,0.0,0.0,-0.0027738977,0.0,0.0,0.0,0.0,0.0,0.2603308,0.26033095,0.14723226,0.27251282,0.27251285,4.0323153,0.0,0.0,0.0,0.09058515,0.0,0.0,0.0,0.0,0.0,0.00014889869,0.004944285,0.008153697,0.0,0.0,0.0,0.0,0.0,0.0
35127201,0.043504387,0.05901042,-0.040609904,-0.10735361,-0.12786973,0.043376923,0.0,0.0,0.0,0.0010514121,0.0,0.0,0.0,0.0,0.0,0.26018217,0.26018232,0.1472467,0.2723819,0.27238193,4.03257,0.0,0.0,0.0,0.09057788,0.0,0.0,0.0,0.0,0.0,0.00037124974,0.011188868,0.023825824,0.0,0.0,0.0,0.0,0.0,0.0
35333331,0.079094514,-0.07078235,0.030915435,0.0877481,0.075711444,-0.026042938,0.0,0.0,0.0,-0.010913794,0.0,0.0,0.0,0.0,0.0,0.25999296,0.2599931,0.14724529,0.2720229,0.27202293,4.032606,0.0,0.0,0.0,0.09057123,0.0,0.0,0.0,0.0,0.0,0.00034451124,0.009109238,0.018959662,0.0,0.0,0.0,0.0,0.0,0.0
35534357,0.03788355,-0.06565814,0.0009806529,-0.058616288,-0.054689072,0.09444809,0.0,0.0,0.0,0.0014597072,0.0,0.0,0.0,0.0,0.0,0.25995314,0.25995332,0.14728555,0.27190572,0.27190575,4.032619,0.0,0.0,0.0,0.09056558,0.0,0.0,0.0,0.0,0.0,0.00044347378,0.008634334,0.018715274,0.0,0.0,0.0,0.0,0.0,0.0
