timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
28789979,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
29508087,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
29612334,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
33399811,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
33415222,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
38430406,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
53459086,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
53482586,999.0,999.0,999.0,999.0,999.0,999.0,999.0,183,1,0,0,0,0,1
74264625,0.0,0.0,0.0,21196.0,0.0,0.0,0.0,400,1,0,0,0,0,1
74778115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92,1,0,0,0,0,1
