timestamp,load,ram_usage
29487407,0.43110985,0.70972437
30487438,0.58564687,0.77205986
31487408,0.5462699,0.77469176
32487551,0.54845357,0.77469176
33488364,0.54388213,0.77469176
34487406,0.5407845,0.77469176
35487543,0.5458938,0.77469176
36487422,0.54398245,0.77469176
37487457,0.54760873,0.77469176
38487480,0.54055494,0.77469176
39487556,0.54143643,0.77469176
40487408,0.5448476,0.77469176
41487520,0.5432297,0.77469176
42487408,0.544788,0.77469176
43487422,0.54347515,0.77469176
44488328,0.5470202,0.77469176
46487422,0.529388,0.77469176
47487444,0.54163027,0.77469176
48487408,0.54348326,0.77469176
49487492,0.5413259,0.77469176
50487462,0.5461761,0.77469176
51487433,0.5424584,0.77469176
52487553,0.54739785,0.77469176
53487408,0.5454471,0.77469176
54487441,0.5600012,0.77469176
55487441,0.571711,0.77469176
56487439,0.57708615,0.77469176
57487408,0.5770349,0.77469176
58487443,0.57592344,0.77469176
59487407,0.5780034,0.77469176
60487558,0.57395494,0.77469176
61487553,0.5475668,0.77469176
62487408,0.49191034,0.77469176
63487552,0.5295857,0.77469176
64487718,0.5456894,0.77469176
65487445,0.54320526,0.77469176
66487532,0.5438688,0.77469176
67487441,0.5417339,0.77469176
68487427,0.4189,0.77469176
69487408,0.34895045,0.77469176
70487408,0.356391,0.77469176
71487408,0.35036898,0.77469176
72487434,0.35106587,0.77469176
73487419,0.33591676,0.77469176
74487413,0.3293923,0.77469176
