timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
26997539,26996386,800000.0,1.0,18.619688,23.73195,0.0,255,190,6,4,4,5,0,0,1,1,46
27008368,0,20000.0,0.974169,0.0,1.3895308,0.0,0,0,0,0,0,0,0,0,0,0,35
27073456,0,1200.0,0.18796422,0.0,0.5661114,0.0,0,0,0,0,0,0,0,1,0,1,36
27983784,27983308,800000.0,1.0,5.4593973,23.426758,0.0,255,190,6,4,4,5,0,0,1,1,46
28009821,0,20000.0,0.91766685,0.0,4.884591,0.0,0,0,0,0,0,0,0,0,0,0,35
28080482,0,1200.0,0.15552334,0.0,0.35851014,0.0,0,0,0,0,0,0,0,1,0,1,36
28984898,27983308,800000.0,1.0,10.751496,26.956087,0.0,255,190,6,4,4,5,0,0,1,1,46
28996466,28996308,800000.0,1.0,10.751496,26.956087,0.0,255,190,6,4,4,5,0,0,1,1,46
29010391,0,20000.0,0.91766685,0.0,7.2018647,0.0,0,0,0,0,0,0,0,0,0,0,35
29080629,0,1200.0,0.15552334,0.0,0.55499667,0.0,0,0,0,0,0,0,0,1,0,1,36
29998560,29996302,800000.0,1.0,11.464066,29.094717,0.0,255,190,6,4,4,5,0,0,1,1,46
30011365,0,20000.0,0.91766685,0.0,7.3468366,0.0,0,0,0,0,0,0,0,0,0,0,35
30089495,0,1200.0,0.15552334,0.0,0.6303489,0.0,0,0,0,0,0,0,0,1,0,1,36
30986776,30985561,800000.0,1.0,11.393642,29.20545,0.0,255,190,6,4,4,5,0,0,1,1,46
31012365,0,20000.0,0.91766685,0.0,7.1398597,0.0,0,0,0,0,0,0,0,0,0,0,35
31091634,0,1200.0,0.15552334,0.0,0.47493517,0.0,0,0,0,0,0,0,0,1,0,1,36
31984719,31983385,800000.0,1.0,11.544453,29.286076,0.0,255,190,6,4,4,5,0,0,1,1,46
32013649,0,20000.0,0.91766685,0.0,7.46244,0.0,0,0,0,0,0,0,0,0,0,0,35
32099469,0,1200.0,0.15552334,0.0,0.5715221,0.0,0,0,0,0,0,0,0,1,0,1,36
32985738,32984307,800000.0,1.0,11.610373,29.295198,0.0,255,190,6,4,4,5,0,0,1,1,46
33014698,0,20000.0,0.91766685,0.0,7.310033,0.0,0,0,0,0,0,0,0,0,0,0,35
33102470,0,1200.0,0.15552334,0.0,0.33003494,0.0,0,0,0,0,0,0,0,1,0,1,36
33986469,32984307,800000.0,1.0,11.52746,29.243137,0.0,255,190,6,4,4,5,0,0,1,1,46
33998537,33997940,800000.0,1.0,11.52746,29.243137,0.0,255,190,6,4,4,5,0,0,1,1,46
34017365,0,20000.0,0.91766685,0.0,7.321748,0.0,0,0,0,0,0,0,0,0,0,0,35
34107371,0,1200.0,0.15552334,0.0,0.5512454,0.0,0,0,0,0,0,0,0,1,0,1,36
34984710,34982310,800000.0,1.0,11.334608,29.15954,0.0,255,190,6,4,4,5,0,0,1,1,46
35019095,0,20000.0,0.91766685,0.0,7.310566,0.0,0,0,0,0,0,0,0,0,0,0,35
35115403,0,1200.0,0.15552334,0.0,0.54760164,0.0,0,0,0,0,0,0,0,1,0,1,36
35986396,34982310,800000.0,1.0,11.597898,29.352432,0.0,255,190,6,4,4,5,0,0,1,1,46
35996456,35996308,800000.0,1.0,11.597898,29.352432,0.0,255,190,6,4,4,5,0,0,1,1,46
36021505,0,20000.0,0.91766685,0.0,7.232374,0.0,0,0,0,0,0,0,0,0,0,0,35
36119371,0,1200.0,0.15552334,0.0,0.5896602,0.0,0,0,0,0,0,0,0,1,0,1,36
36997841,35996308,800000.0,1.0,11.48067,29.236055,0.0,255,190,6,4,4,5,0,0,1,1,46
37000605,36999302,800000.0,1.0,11.48067,29.236055,0.0,255,190,6,4,4,5,0,0,1,1,46
37022365,0,20000.0,0.91766685,0.0,7.2956967,0.0,0,0,0,0,0,0,0,0,0,0,35
37127369,0,1200.0,0.15552334,0.0,0.5783724,0.0,0,0,0,0,0,0,0,1,0,1,36
37996463,37996308,800000.0,1.0,11.7447815,29.886185,0.0,255,190,6,4,4,5,0,0,1,1,46
38023362,0,20000.0,0.91766685,0.0,7.3316827,0.0,0,0,0,0,0,0,0,0,0,0,35
38131371,0,1200.0,0.15552334,0.0,0.5697199,0.0,0,0,0,0,0,0,0,1,0,1,36
38991227,38989298,800000.0,1.0,11.630473,30.077845,0.0,255,190,6,4,4,5,0,0,1,1,46
39025495,0,20000.0,0.91766685,0.0,7.2934427,0.0,0,0,0,0,0,0,0,0,0,0,35
39137368,0,1200.0,0.15552334,0.0,0.45626375,0.0,0,0,0,0,0,0,0,1,0,1,36
39993561,38989298,800000.0,1.0,11.637491,29.830177,0.0,255,190,6,4,4,5,0,0,1,1,46
39999662,39998785,800000.0,1.0,11.637491,29.830177,0.0,255,190,6,4,4,5,0,0,1,1,46
40028286,0,20000.0,0.91766685,0.0,7.3927855,0.0,0,0,0,0,0,0,0,0,0,0,35
40144492,0,1200.0,0.15552334,0.0,0.4140503,0.0,0,0,0,0,0,0,0,1,0,1,36
40986230,40983443,800000.0,1.0,11.753281,29.96308,0.0,255,190,6,4,4,5,0,0,1,1,46
41030405,0,20000.0,0.91766685,0.0,7.382923,0.0,0,0,0,0,0,0,0,0,0,0,35
41153371,0,1200.0,0.15552334,0.0,0.5183976,0.0,0,0,0,0,0,0,0,1,0,1,36
41984708,41983337,800000.0,1.0,11.652135,29.949934,0.0,255,190,6,4,4,5,0,0,1,1,46
42031721,0,20000.0,0.91766685,0.0,7.3813267,0.0,0,0,0,0,0,0,0,0,0,0,35
42153964,0,1200.0,0.15552334,0.0,0.39276668,0.0,0,0,0,0,0,0,0,1,0,1,36
42986435,41983337,800000.0,1.0,11.6882305,29.963629,0.0,255,190,6,4,4,5,0,0,1,1,46
42996461,42996308,800000.0,1.0,11.6882305,29.963629,0.0,255,190,6,4,4,5,0,0,1,1,46
43032790,0,20000.0,0.91766685,0.0,7.2073727,0.0,0,0,0,0,0,0,0,0,0,0,35
43157678,0,1200.0,0.15552334,0.0,0.69243723,0.0,0,0,0,0,0,0,0,1,0,1,36
43983768,43983308,800000.0,1.0,11.589036,29.984632,0.0,255,190,6,4,4,5,0,0,1,1,46
44033382,0,20000.0,0.91766685,0.0,7.435598,0.0,0,0,0,0,0,0,0,0,0,0,35
44158369,0,1200.0,0.15552334,0.0,0.47566512,0.0,0,0,0,0,0,0,0,1,0,1,36
44984857,43983308,800000.0,1.0,11.367775,29.847021,0.0,255,190,6,4,4,5,0,0,1,1,46
44996496,44996308,800000.0,1.0,11.367775,29.847021,0.0,255,190,6,4,4,5,0,0,1,1,46
45034363,0,20000.0,0.91766685,0.0,7.3926516,0.0,0,0,0,0,0,0,0,0,0,0,35
45162378,0,1200.0,0.15552334,0.0,0.5298778,0.0,0,0,0,0,0,0,0,1,0,1,36
45983779,45983308,800000.0,1.0,11.814442,30.31056,0.0,255,190,6,4,4,5,0,0,1,1,46
46035631,0,20000.0,0.91766685,0.0,7.345743,0.0,0,0,0,0,0,0,0,0,0,0,35
46172303,0,1200.0,0.15552334,0.0,0.51786584,0.0,0,0,0,0,0,0,0,1,0,1,36
46983892,46983310,800000.0,1.0,11.586819,29.941107,0.0,255,190,6,4,4,5,0,0,1,1,46
47036406,0,20000.0,0.91766685,0.0,7.483527,0.0,0,0,0,0,0,0,0,0,0,0,35
47175503,0,1200.0,0.15552334,0.0,0.3608399,0.0,0,0,0,0,0,0,0,1,0,1,36
47985892,46983310,800000.0,1.0,11.633366,30.00899,0.0,255,190,6,4,4,5,0,0,1,1,46
47997529,47997310,800000.0,1.0,11.633366,30.00899,0.0,255,190,6,4,4,5,0,0,1,1,46
48038963,0,20000.0,0.91766685,0.0,7.0876436,0.0,0,0,0,0,0,0,0,0,0,0,35
48177373,0,1200.0,0.15552334,0.0,0.620839,0.0,0,0,0,0,0,0,0,1,0,1,36
