timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect
38290262,inf,0,1,1,1,0
39290262,inf,0,1,1,1,0
40290306,inf,0,1,1,1,0
41290335,inf,0,1,1,1,0
42310311,inf,0,1,1,1,0
43330329,inf,0,1,1,1,0
44350316,inf,0,1,1,1,0
45350317,inf,0,1,1,1,0
46350329,inf,0,1,1,1,0
47370320,inf,0,1,1,1,0
47510312,inf,0,1,1,1,1
48070308,inf,0,1,0,1,1
48090332,inf,0,1,0,0,1
48530332,inf,0,0,0,0,0
49550313,inf,0,0,0,0,0
50570306,inf,0,0,0,0,0
51570310,inf,0,0,0,0,0
52570316,inf,0,0,0,0,0
53570331,inf,0,0,0,0,0
54590312,inf,0,0,0,0,0
55590322,inf,0,0,0,0,0
56610312,inf,0,0,0,0,0
57610313,inf,0,0,0,0,0
58610320,inf,0,0,0,0,0
59610328,inf,0,0,0,0,0
60630318,inf,0,0,0,0,0
61630332,inf,0,0,0,0,0
62650335,inf,0,0,0,0,0
63670262,inf,0,0,0,0,0
64670262,inf,0,0,0,0,0
65670311,inf,0,0,0,0,0
66670318,inf,0,0,0,0,0
67670330,inf,0,0,0,0,0
69690332,inf,0,0,0,0,0
70690354,inf,0,0,0,0,0
71710262,inf,0,0,0,0,0
72710334,inf,0,0,0,0,0
73730328,inf,0,0,0,0,0
74750306,inf,0,0,0,0,0
75750311,inf,0,0,0,0,0
76750316,inf,0,0,0,0,0
77751004,inf,0,0,0,0,0
78610302,inf,0,0,1,0,0
78670259,inf,0,0,1,1,0
78710259,inf,0,1,1,1,0
78970262,inf,1,1,1,1,0
