timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
36892076,0.9538774,24.993435,101313.55,1.2037725
36907923,1.0754241,24.993435,101312.07,1.203755
36925300,1.0437162,24.993435,101312.47,1.2037597
36937786,1.0886357,24.993435,101311.94,1.2037535
36954308,0.90103096,24.993435,101314.164,1.2037798
36969072,1.0199354,24.993435,101312.75,1.203763
36983931,1.0305047,24.993435,101312.625,1.2037616
36999121,1.0305047,24.993435,101312.625,1.2037616
37015471,0.96708894,24.993435,101313.375,1.2037705
37029098,1.1018473,24.993435,101311.77,1.2037514
37045684,1.0701394,24.993435,101312.15,1.203756
37060641,0.9036733,24.993435,101314.13,1.2037795
37076298,1.0727818,24.993435,101312.125,1.2037556
37092308,1.0595702,24.993435,101312.28,1.2037575
37107114,0.93009645,24.993435,101313.83,1.2037759
37121859,1.0727818,24.993435,101312.125,1.2037556
37136989,1.033147,24.993435,101312.59,1.2037612
37151369,1.1018473,24.993435,101311.77,1.2037514
37167344,1.0992049,24.993435,101311.8,1.2037517
37181606,1.0992049,24.993435,101311.79,1.2037517
37197021,1.0357893,24.993435,101312.55,1.2037606
37211511,0.90103096,24.993435,101314.17,1.2037799
37227297,0.97501594,24.993435,101313.29,1.2037694
37242085,1.1150589,24.993435,101311.6,1.2037494
37257292,0.99351215,24.993435,101313.08,1.203767
37274310,1.009366,24.993435,101312.88,1.2037647
37289380,1.083351,24.993435,101312.0,1.2037542
37304303,1.0146507,24.993435,101312.8,1.2037636
37318028,1.0146507,24.993435,101312.8,1.2037636
37333318,1.0146507,24.993435,101312.8,1.2037636
37348850,1.0172931,24.993435,101312.79,1.2037635
37363475,1.0384315,24.993435,101312.53,1.2037605
37379689,1.0014391,24.993435,101312.98,1.2037657
37394120,1.0067238,24.993435,101312.91,1.2037649
37410303,0.959162,24.993435,101313.46,1.2037715
37424225,0.9406658,24.993435,101313.69,1.2037742
37439083,0.9406658,24.993435,101313.71,1.2037745
37453917,0.9829429,24.993435,101313.2,1.2037685
