timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
26515001,0.0,0.0,0.0,0.0
26743734,0.0,0.0,0.0,0.0
26940404,0.0,0.0,0.0,0.0
27138147,0.0,0.0,0.0,0.0
27351640,0.0,0.0,0.0,0.0
27547717,0.0,0.0,0.0,0.0
27746546,0.0,0.0,0.0,0.0
27961064,0.0,0.0,0.0,0.0
28157230,0.0,0.0,0.0,0.0
28356398,0.0,0.0,0.0,0.0
28567966,0.0,0.0,0.0,0.0
28765479,0.0,0.0,0.0,0.0
28978318,0.0,0.0,0.0,0.0
29177611,0.0,0.0,0.0,0.0
29377411,0.0,0.0,0.0,0.0
29575777,0.0,0.0,0.0,0.0
29787753,0.0,0.0,0.0,0.0
29986087,0.0,0.0,0.0,0.0
30184116,0.0,0.0,0.0,0.0
30397390,0.0,0.0,0.0,0.0
30593310,0.0,0.0,0.0,0.0
30791148,0.0,0.0,0.0,0.0
30992841,0.0,0.0,0.0,0.0
31205110,0.0,0.0,0.0,0.0
31402736,0.0,0.0,0.0,0.0
31614815,0.0,0.0,0.0,0.0
31813994,0.0,0.0,0.0,0.0
32012472,0.0,0.0,0.0,0.0
32226193,0.0,0.0,0.0,0.0
32425361,0.0,0.0,0.0,0.0
32621420,0.0,0.0,0.0,0.0
32834192,0.0,0.0,0.0,0.0
33033362,0.0,0.0,0.0,0.0
33231421,0.0,0.0,0.0,0.0
33442927,0.0,0.0,0.0,0.0
33638669,0.0,0.0,0.0,0.0
33838144,0.0,0.0,0.0,0.0
34040364,0.0,0.0,0.0,0.0
34252728,0.0,0.0,0.0,0.0
34450345,0.0,0.0,0.0,0.0
34648398,0.0,0.0,0.0,0.0
34862466,0.0,0.0,0.0,0.0
35058419,0.0,0.0,0.0,0.0
35270645,0.0,0.0,0.0,0.0
35470098,0.0,0.0,0.0,0.0
35671284,0.0,0.0,0.0,0.0
35869040,0.0,0.0,0.0,0.0
36069570,0.0060566114,-0.0033746117,0.00013232225,0.0
36280488,0.013323363,-0.007656907,0.00027392557,0.0
36482487,0.01742514,-0.010135216,0.0003877581,0.0
36680070,0.019678585,-0.011003974,0.00046076163,0.0
36878804,0.01956269,-0.010980134,0.0005028273,0.0
37091658,0.01668341,-0.009249348,0.0005717663,0.0
37291453,0.012815517,-0.0072514066,0.00056629034,0.0
37488451,0.009576864,-0.0054667774,0.0005895275,0.0
37702412,0.0073107537,-0.0040171137,0.0005271693,0.0
37898549,0.0056601265,-0.003123856,0.00035431012,0.0
38111779,0.004284698,-0.0022902878,0.00030336072,0.0
38311072,0.0033245822,-0.002034331,0.0003053965,0.0
38509136,0.0025703867,-0.0015545278,0.000340368,0.0
38721360,0.002042204,-0.0012543728,0.00022860851,0.0
38918113,0.0015402348,-0.00093813025,0.00036583564,0.0
39115557,0.0012166032,-0.00075852097,0.00045923423,0.0
39329882,0.0009656956,-0.00057469856,0.0003450197,0.0
39528065,0.0008641438,-0.0004963892,0.00013818312,0.0
39727182,0.00057777675,-0.0002349191,4.038184e-05,0.0
39926136,0.0004901335,-0.00014624222,1.5281816e-05,0.0
40138996,0.00033735466,-0.00015009214,4.5258294e-06,0.0
40337936,0.00018995654,-6.621712e-05,-4.204392e-05,0.0
40535470,8.67959e-05,-7.498732e-05,4.076494e-05,0.0
40733657,0.00014223829,2.2122844e-05,6.380694e-05,0.0
40946557,1.13406695e-05,5.723291e-05,9.862067e-05,0.0
41146367,0.000117217845,-2.9218234e-05,4.0170606e-05,0.0
41342751,7.079254e-05,2.1743801e-05,1.4794754e-05,0.0
41555268,-1.1815567e-06,-4.000989e-05,1.1973299e-05,0.0
41755184,6.308054e-05,5.9249065e-05,5.1094237e-05,0.0
41966873,-8.2435574e-05,3.893803e-05,6.3442625e-05,0.0
42164657,-0.00010121772,1.5414922e-05,6.803993e-05,0.0
42363648,4.6594694e-05,7.85418e-06,1.7162489e-05,0.0
42575648,6.9203146e-05,0.00013579466,3.4707897e-05,0.0
42775562,0.00010135553,5.4750544e-05,-3.5337966e-06,0.0
42974938,-0.00011181946,-1.3884272e-05,2.8714621e-05,0.0
43171046,5.553561e-05,2.354605e-05,0.000106712665,0.0
43384432,-8.705728e-06,1.200361e-05,0.00012939931,0.0
43580777,-0.00010147948,-4.506046e-05,7.118049e-05,0.0
43778209,1.5393238e-05,-8.479317e-05,4.7715614e-05,0.0
43992201,-6.1101106e-05,2.1797812e-05,3.5252142e-05,0.0
44189934,-2.3458679e-05,3.1310377e-05,2.140661e-05,0.0
44402821,-0.000101649195,-5.81083e-05,1.7424161e-05,0.0
44602086,-8.234732e-05,1.6580709e-06,-3.4001056e-05,0.0
44803148,-2.5772288e-05,5.0129194e-05,-2.0271043e-05,0.0
45000223,-2.9857634e-05,2.9186376e-05,-1.6070885e-07,0.0
45213248,1.13489305e-05,-8.490615e-06,-2.574596e-05,0.0
45410518,7.334195e-05,-4.6977425e-06,6.358112e-05,0.0
45610366,-7.912214e-05,-1.0105483e-05,5.573539e-07,0.0
45823180,1.5340423e-05,2.8241986e-06,-3.517318e-05,0.0
46021366,-4.8350128e-05,5.1152714e-05,-9.48666e-06,0.0
46215636,-2.1166168e-05,-5.9429465e-05,-3.0883577e-05,0.0
46429077,1.8690374e-05,7.239954e-06,-4.5091756e-06,0.0
46627468,0.000104246974,-0.00011258503,1.667323e-05,0.0
46826480,-5.018371e-05,-2.4278448e-05,1.7113029e-05,0.0
